V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
108161,GBIF_11419,Gennaria diphylla,27.76667,-18,2517431902,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,(Dalzell) Parl.,Riscos de Jinama.,NA,ES,NA,4,1905,PRESERVED_SPECIMEN,NA,Botany,WAG.1136421,"Pitard (Canary Islands series), C-JM 369",Pitard (Canary Islands series) C-JM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,7,7,"c(-18, 27.76667)",TRUE
119438,GBIF_32924,Gennaria diphylla,35.2915,-3.0048,1842865607,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,(Link) Parl.,"Melilla, Hidum",NA,MA,NA,4,1933,PRESERVED_SPECIMEN,BC,BC N Africa,BC-119945,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,0,12,"c(-3.0048, 35.2915)",TRUE
119896,GBIF_33463,Gennaria diphylla,35.2915,-3.0048,1842866172,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,(Link) Parl.,"Melilla, Hidum",NA,MA,NA,4,1933,PRESERVED_SPECIMEN,BC,BC N Africa,BC-138960,without-number,hno. Mauricio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,0,12,"c(-3.0048, 35.2915)",TRUE
120033,GBIF_33649,Gennaria diphylla,35.2915,-3.0048,1842855786,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,(Link) Parl.,"Melilla, Hidum",NA,MA,NA,3,1934,PRESERVED_SPECIMEN,BC,BC N Africa,BC-81056,without-number,Sennen & hno. Mauricio,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,0,12,"c(-3.0048, 35.2915)",TRUE
120061,GBIF_33684,Gennaria diphylla,35.7013,-0.6715,1842884342,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,(Link) Parl.,Forèt des Planteurs,NA,DZ,NA,3,1922,PRESERVED_SPECIMEN,BC,BC N Africa,BC-60737,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,0,12,"c(-0.6715, 35.7013)",TRUE
122437,GBIF_43723,Gennaria diphylla,38.5,-9,2515767113,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,(Dalzell) Parl.,[Lat: 38°30'0'' N; Long: 9°0'0'' W],NA,PT,NA,4,1920,PRESERVED_SPECIMEN,NA,Botany,WAG0349776,"Palhinha, RT s.n.",Palhinha RT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,7,7,"c(-9, 38.5)",TRUE
133209,GBIF_58329,Gennaria diphylla,28.53333,-16.28333,2515816384,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,(Dalzell) Parl.,Monte de las Mercedes.,NA,ES,NA,3,1977,PRESERVED_SPECIMEN,NA,Botany,WAG.1136419,"Nydegger, M 20216",Nydegger M,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,7,7,"c(-16.28333, 28.53333)",TRUE
158732,GBIF_98379,Gennaria diphylla,28.51667,-16.28333,2515815160,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,(Dalzell) Parl.,Las Mercedes.,NA,ES,NA,1,1906,PRESERVED_SPECIMEN,NA,Botany,WAG.1136422,"Pitard (Canary Islands series), C-JM 689",Pitard (Canary Islands series) C-JM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,7,7,"c(-16.28333, 28.51667)",TRUE
160289,GBIF_100219,Gennaria diphylla,28.3,-16.41667,2513819664,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,(Dalzell) Parl.,Bas.,NA,ES,NA,3,1973,PRESERVED_SPECIMEN,NA,Botany,L.1521188,"Andreas, CH; Schotsman, HD s.n.",Andreas CH; Schotsman HD,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,7,7,"c(-16.41667, 28.3)",TRUE
164523,GBIF_105048,Gennaria diphylla,28.51667,-16.28333,2517694871,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,(Dalzell) Parl.,Mercedes.,NA,ES,NA,4,1968,PRESERVED_SPECIMEN,NA,Botany,WAG.1136420,"Vredebregt, JH 253",Vredebregt JH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,7,7,"c(-16.28333, 28.51667)",TRUE
169204,GBIF_110480,Gennaria diphylla,28.51667,-16.28333,2517592389,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,(Dalzell) Parl.,monte de Las Mercedes,NA,ES,NA,3,1970,PRESERVED_SPECIMEN,NA,Botany,WAG.1477017,"Meijer Drees, E Sp 431",Meijer Drees E,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,7,7,"c(-16.28333, 28.51667)",TRUE
181735,GBIF_126617,Gennaria diphylla,41.142054,9.303419,1699943535,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,NA,Stazzo zirrulia,NA,IT,NA,4,1982,PRESERVED_SPECIMEN,BIO-UNIPI,WIKISAR,112572,without-number,I. Serra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,12,-1,"c(9.303419, 41.142054)",TRUE
181743,GBIF_126626,Gennaria diphylla,41.186807,9.33483,1699943555,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Gennaria,SPECIES,NA,Porto puddu,NA,IT,NA,3,1981,PRESERVED_SPECIMEN,BIO-UNIPI,WIKISAR,112575,without-number,"B. Corrias, S. Diana",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,89154,Gennaria diphylla,Gennaria,diphylla,(Link) Parl.,Species,Accepted,NA,635582-1,89154,12,-1,"c(9.33483, 41.186807)",TRUE
