V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104150,GBIF_367,Hemipilia basifoliata,36.519977,103.891767,1055317211,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,(Finet) Schltr.,NA,NA,CN,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000885747,2544,George Forrest,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538381,Hemipilia basifoliata,Hemipilia,basifoliata,(Finet) Y.Tang & H.Peng,Species,Accepted,NA,77206824-1,538381,14,8,"c(103.891767, 36.519977)",TRUE
104307,GBIF_527,Hemipilia chusua,31.712092,88.118532,1056641961,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,D.Don,NA,NA,CN,NA,7,1947,PRESERVED_SPECIMEN,NHMUK,BOT,BM000013257,15366,F. Ludlow et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538397,Hemipilia chusua,Hemipilia,chusua,(D.Don) Y.Tang & H.Peng,Species,Accepted,NA,77206955-1,538397,18,4,"c(88.118532, 31.712092)",TRUE
104309,GBIF_529,Hemipilia chusua,36.519977,103.891767,1056283286,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,D.Don,NA,NA,CN,NA,6,1904,PRESERVED_SPECIMEN,NHMUK,BOT,BM000013264,4625,Ernest Henry Wilson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538397,Hemipilia chusua,Hemipilia,chusua,(D.Don) Y.Tang & H.Peng,Species,Accepted,NA,77206955-1,538397,18,4,"c(103.891767, 36.519977)",TRUE
104368,GBIF_592,Hemipilia cucullata,31.712092,88.118532,1055440882,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,(L.) Schltr.,NA,NA,CN,NA,8,1938,PRESERVED_SPECIMEN,NHMUK,BOT,BM000076102,6811,F. Ludlow et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,24,5,"c(88.118532, 31.712092)",TRUE
104369,GBIF_593,Hemipilia puberula,31.712092,88.118532,1057605527,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,(King & Pantl.) Tang & F.T.Wang,NA,NA,CN,NA,7,1938,PRESERVED_SPECIMEN,NHMUK,BOT,BM000076161,5910,F. Ludlow et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538414,Hemipilia puberula,Hemipilia,puberula,(King & Pantl.) Y.Tang & H.Peng,Species,Accepted,NA,77206973-1,538414,7,16,"c(88.118532, 31.712092)",TRUE
114484,GBIF_18685,Hemipilia gracilis,25.239186,113.223655,2423967636,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,(Blume) X.H.Jin,Kwangtung: Lok Chong,NA,CN,NA,6,1929,PRESERVED_SPECIMEN,NY,NY,4133070,21125,C. L. Tso,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538401,Hemipilia gracilis,Hemipilia,gracilis,"(Blume) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206960-1,538401,21,8,"c(113.223655, 25.239186)",TRUE
116591,GBIF_23806,Hemipilia puberula,27.735278,88.740556,574677080,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,"India:Sikkim:North District:between Phune and Yakche, N of Lachung",NA,IN,3270,7,1996,PRESERVED_SPECIMEN,RBGE,E,E00032597,204,"Edinburgh Expedition to Northern Sikkim (1996),",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538414,Hemipilia puberula,Hemipilia,puberula,(King & Pantl.) Y.Tang & H.Peng,Species,Accepted,NA,77206973-1,538414,31,-1,"c(88.740556, 27.735278)",TRUE
116615,GBIF_23830,Hemipilia monantha,27.756111,98.4625,773954761,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,"China:Yunnan:Gongshan:Zizhixian:Yipsaka Lake, 2.4 direct km by SE of the Heipa Pass tunnel on the new road from Gongshan to the Dulong Jiang valley, E side of Gaoligong Shan.",NA,CN,3560,8,2006,PRESERVED_SPECIMEN,RBGE,E,E00629877,32086,"Gaoligong Shan Biotic Survey Expedition - Summer 2006,",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538370,Hemipilia monantha,Hemipilia,monantha,(Finet) Y.Tang & H.Peng,Species,Accepted,NA,77206813-1,538370,23,-1,"c(98.4625, 27.756111)",TRUE
116637,GBIF_23853,Hemipilia farreri,27.215278,98.701389,773956834,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,"China:Yunnan:Fugong:Xian:Yaduo Cun, NE of Yaping Pass near the Myanmar border, E side of Gaoligong Shan.",NA,CN,3640,8,2005,PRESERVED_SPECIMEN,RBGE,E,E00629881,28046,"Gaoligong Shan Biotic Survey Expedition - Summer 2005,",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538382,Hemipilia farreri,Hemipilia,farreri,(Schltr.) Y.Tang & H.Peng,Species,Accepted,NA,77206826-1,538382,25,-1,"c(98.701389, 27.215278)",TRUE
120257,GBIF_33904,Hemipilia cucullata,49.940976,107.912247,3908982515,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,6,2019,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU048264,without-number,V. Chepinoga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(107.912247, 49.940976)",TRUE
120565,GBIF_34349,Hemipilia cucullata,51.871774,104.808546,3908985274,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,8,1991,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027492,without-number,I. Lyahova,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(104.808546, 51.871774)",TRUE
120591,GBIF_34383,Hemipilia cucullata,54.592647,100.639479,3908985656,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,7,1996,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027506,without-number,V. Chepinoga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(100.639479, 54.592647)",TRUE
120592,GBIF_34384,Hemipilia cucullata,51.798972,104.352586,3908985660,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,8,1991,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027508,without-number,A. Zarubin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(104.352586, 51.798972)",TRUE
120593,GBIF_34385,Hemipilia cucullata,52.038539,105.409097,3908985661,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,7,1915,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027507,without-number,I. Larin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(105.409097, 52.038539)",TRUE
120594,GBIF_34387,Hemipilia cucullata,52.009112,105.313158,3908985666,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,8,1927,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027500,without-number,V. Bryzgalova,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(105.313158, 52.009112)",TRUE
120595,GBIF_34388,Hemipilia cucullata,52.274235,104.238138,3908985672,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,7,2007,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027504,without-number,Terent'eva,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(104.238138, 52.274235)",TRUE
120596,GBIF_34389,Hemipilia cucullata,52.966569,102.30637,3908985674,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,7,2009,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027503,without-number,S.S. Nevidimova,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(102.30637, 52.966569)",TRUE
120597,GBIF_34392,Hemipilia cucullata,52.01591,105.357099,3908985692,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,7,1992,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027515,without-number,G. Lyahov,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(105.357099, 52.01591)",TRUE
120598,GBIF_34393,Hemipilia cucullata,53.931793,108.17321,3908985701,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,8,1973,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027520,without-number,Makryy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(108.17321, 53.931793)",TRUE
120599,GBIF_34394,Hemipilia cucullata,51.730512,102.572568,3908985704,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,7,2006,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027522,without-number,L. Demina,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(102.572568, 51.730512)",TRUE
120600,GBIF_34395,Hemipilia cucullata,51.935175,102.42498,3908985705,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,7,1932,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027521,without-number,V.I. Smirnov,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(102.42498, 51.935175)",TRUE
120601,GBIF_34397,Hemipilia cucullata,51.897341,102.446597,3908985714,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,8,1922,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027525,without-number,V. Smirnov,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(102.446597, 51.897341)",TRUE
120603,GBIF_34399,Hemipilia cucullata,50.531721,104.824268,3908985729,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,7,1972,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027533,without-number,Shvets,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(104.824268, 50.531721)",TRUE
120604,GBIF_34400,Hemipilia cucullata,51.761331,100.649912,3908985731,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,8,1996,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027532,without-number,M. Azovskiy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(100.649912, 51.761331)",TRUE
120605,GBIF_34401,Hemipilia cucullata,51.05,111.733333,3908985734,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,8,2007,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027535,without-number,I. Enuschenko,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(111.733333, 51.05)",TRUE
120671,GBIF_34497,Hemipilia cucullata,52.483442,103.815432,3908986527,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,RU,NA,7,2004,PRESERVED_SPECIMEN,Irkutsk State University,IRKU,IRKU027365,without-number,I.V. Enuschenko,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538403,Hemipilia cucullata,Hemipilia,cucullata,"(L.) Y.Tang, H.Peng & T.Yukawa",Species,Accepted,NA,77206962-1,538403,30,-1,"c(103.815432, 52.483442)",TRUE
125379,GBIF_46860,Hemipilia chusua,28.48611,98.911543,1304082566,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,沧怒分水岭Dokerla,NA,CN,NA,NA,1940,PRESERVED_SPECIMEN,KUN,NA,ec7baf0d-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538397,Hemipilia chusua,Hemipilia,chusua,(D.Don) Y.Tang & H.Peng,Species,Accepted,NA,77206955-1,538397,23,-1,"c(98.911543, 28.48611)",TRUE
125380,GBIF_46862,Hemipilia chusua,26.876096,100.229945,1304082584,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,雪松村西北南照,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,ec7bb3dc-b6bf-11e1-8c2f-acd112e444a7,without-number,秦仁昌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538397,Hemipilia chusua,Hemipilia,chusua,(D.Don) Y.Tang & H.Peng,Species,Accepted,NA,77206955-1,538397,23,-1,"c(100.229945, 26.876096)",TRUE
125381,GBIF_46863,Hemipilia chusua,26.453601,99.416689,1304082593,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,KUN,NA,ec7ba127-b6bf-11e1-8c2f-acd112e444a7,without-number,蔡希陶,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538397,Hemipilia chusua,Hemipilia,chusua,(D.Don) Y.Tang & H.Peng,Species,Accepted,NA,77206955-1,538397,23,-1,"c(99.416689, 26.453601)",TRUE
125382,GBIF_46864,Hemipilia chusua,27.177166,99.28717,1304082601,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,叶枝,NA,CN,NA,NA,1935,PRESERVED_SPECIMEN,KUN,NA,ec7b9d3f-b6bf-11e1-8c2f-acd112e444a7,without-number,王启无,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538397,Hemipilia chusua,Hemipilia,chusua,(D.Don) Y.Tang & H.Peng,Species,Accepted,NA,77206955-1,538397,23,-1,"c(99.28717, 27.177166)",TRUE
125383,GBIF_46867,Hemipilia chusua,26.11116,99.951049,1304082638,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,凤翔罗平山,NA,CN,NA,NA,1940,PRESERVED_SPECIMEN,KUN,NA,ec7b8055-b6bf-11e1-8c2f-acd112e444a7,without-number,秦仁昌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538397,Hemipilia chusua,Hemipilia,chusua,(D.Don) Y.Tang & H.Peng,Species,Accepted,NA,77206955-1,538397,23,-1,"c(99.951049, 26.11116)",TRUE
125384,GBIF_46868,Hemipilia chusua,27.82308,99.706013,1304082647,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,德哥,NA,CN,NA,NA,1937,PRESERVED_SPECIMEN,KUN,NA,ec7b76b5-b6bf-11e1-8c2f-acd112e444a7,without-number,俞德浚,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538397,Hemipilia chusua,Hemipilia,chusua,(D.Don) Y.Tang & H.Peng,Species,Accepted,NA,77206955-1,538397,23,-1,"c(99.706013, 27.82308)",TRUE
125385,GBIF_46869,Hemipilia brevicalcarata,27.82308,99.706013,1304082656,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,哈巴雪山,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,ec7b6b44-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98219,Hemipilia brevicalcarata,Hemipilia,brevicalcarata,Finet,Species,Accepted,NA,638551-1,98219,5,-1,"c(99.706013, 27.82308)",TRUE
125387,GBIF_46872,Hemipilia brevicalcarata,26.876096,100.229945,1304082692,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,CN,NA,NA,1935,PRESERVED_SPECIMEN,KUN,NA,ec7b66d9-b6bf-11e1-8c2f-acd112e444a7,without-number,王启无,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98219,Hemipilia brevicalcarata,Hemipilia,brevicalcarata,Finet,Species,Accepted,NA,638551-1,98219,5,-1,"c(100.229945, 26.876096)",TRUE
125392,GBIF_46878,Hemipilia calcicola,26.56023,100.17643,1304082764,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,松桂马耳山,NA,CN,NA,NA,1929,PRESERVED_SPECIMEN,KUN,NA,ec7af6b0-b6bf-11e1-8c2f-acd112e444a7,without-number,秦仁昌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538406,Hemipilia calcicola,Hemipilia,calcicola,(W.W.Sm.) Y.Tang & H.Peng,Species,Accepted,NA,77206965-1,538406,25,-1,"c(100.17643, 26.56023)",TRUE
125394,GBIF_46880,Hemipilia calcicola,26.56023,100.17643,1304082782,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,练坪干海子,NA,CN,NA,NA,1940,PRESERVED_SPECIMEN,KUN,NA,ec7af4f5-b6bf-11e1-8c2f-acd112e444a7,without-number,秦仁昌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538406,Hemipilia calcicola,Hemipilia,calcicola,(W.W.Sm.) Y.Tang & H.Peng,Species,Accepted,NA,77206965-1,538406,25,-1,"c(100.17643, 26.56023)",TRUE
125400,GBIF_46888,Hemipilia camptoceras,25.116213,99.162598,1304082881,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,NA,NA,CN,NA,NA,1929,PRESERVED_SPECIMEN,KUN,NA,ec7a7c22-b6bf-11e1-8c2f-acd112e444a7,without-number,俞德浚,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538404,Hemipilia camptoceras,Hemipilia,camptoceras,(Rolfe ex Hemsl.) Y.Tang & H.Peng,Species,Accepted,NA,77206963-1,538404,33,-1,"c(99.162598, 25.116213)",TRUE
125417,GBIF_46909,Hemipilia flabellata,27.740736,98.66582,1304083141,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,设治局菖蒲桶千那通,NA,CN,NA,NA,1935,PRESERVED_SPECIMEN,KUN,NA,ec79314e-b6bf-11e1-8c2f-acd112e444a7,without-number,王启无,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98227,Hemipilia flabellata,Hemipilia,flabellata,Bureau & Franch.,Species,Accepted,NA,638558-1,98227,16,-1,"c(98.66582, 27.740736)",TRUE
125419,GBIF_46911,Hemipilia flabellata,27.740736,98.66582,1304083169,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,怒沧分水岭Doyon-lumba之北海洛,NA,CN,NA,NA,1940,PRESERVED_SPECIMEN,KUN,NA,ec791c77-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,98227,Hemipilia flabellata,Hemipilia,flabellata,Bureau & Franch.,Species,Accepted,NA,638558-1,98227,16,-1,"c(98.66582, 27.740736)",TRUE
125559,GBIF_47066,Hemipilia monantha,28.48611,98.911543,1304084898,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,VARIETY,NA,沧怒分水岭,NA,CN,NA,NA,1940,PRESERVED_SPECIMEN,KUN,NA,ec701acd-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538370,Hemipilia monantha,Hemipilia,monantha,(Finet) Y.Tang & H.Peng,Species,Accepted,NA,77206813-1,538370,23,-1,"c(98.911543, 28.48611)",TRUE
125560,GBIF_47067,Hemipilia tetraloba,24.004444,101.108594,1304084906,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,"Chiu-kiang,w.of champutung",NA,CN,NA,NA,1935,PRESERVED_SPECIMEN,KUN,NA,ec701cf2-b6bf-11e1-8c2f-acd112e444a7,without-number,王启无,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538363,Hemipilia tetraloba,Hemipilia,tetraloba,(Finet) Y.Tang & H.Peng,Species,Accepted,NA,77206806-1,538363,23,-1,"c(101.108594, 24.004444)",TRUE
125568,GBIF_47080,Hemipilia chusua,39.830769,116.268246,1304095346,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,小五台山,NA,CN,NA,NA,1934,PRESERVED_SPECIMEN,KUN,NA,fd08dac5-b6bf-11e1-8c2f-acd112e444a7,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538397,Hemipilia chusua,Hemipilia,chusua,(D.Don) Y.Tang & H.Peng,Species,Accepted,NA,77206955-1,538397,23,-1,"c(116.268246, 39.830769)",TRUE
125719,GBIF_47274,Hemipilia calcicola,27.82308,99.706013,1304015382,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Hemipilia,SPECIES,NA,东坝子雪山,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,ef589ea9-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538406,Hemipilia calcicola,Hemipilia,calcicola,(W.W.Sm.) Y.Tang & H.Peng,Species,Accepted,NA,77206965-1,538406,25,-1,"c(99.706013, 27.82308)",TRUE
