V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111247,GBIF_15254,Eriopsis altissima,-2.629167,-60.815833,4526419927,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Angiosperma,"Rio Negro, Arquipelogo Anavilhanas, Ilhas Tres Bocas",NA,BR,NA,6,1989,PRESERVED_SPECIMEN,NA,New York Botanical Garden,NY00547517,20397,S. A. Mori,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,10,1,"c(-60.815833, -2.629167)",TRUE
114436,GBIF_18637,Eriopsis biloba,5.8947,-61.0203,2273854960,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"Waleliwatipu (Aymatoi), N of Paruima; in vic. of camp.",NA,GY,NA,2,1996,PRESERVED_SPECIMEN,NY,NY,4088322,971,H. D. Clarke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-61.0203, 5.8947)",TRUE
124375,GBIF_45794,Eriopsis altissima,-2.416667,-60.97,1042574852,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,NA,"Rio Negro, Santo Antônio. Flooded riverine forest.",NA,BR,0,6,1990,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",167972,21295,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,6,-1,"c(-60.97, -2.416667)",TRUE
124379,GBIF_45798,Eriopsis altissima,-2.566667,-61.45,1042584304,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,NA,Barro Branco,NA,BR,0,7,1995,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",186615,2601,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,6,-1,"c(-61.45, -2.566667)",TRUE
124601,GBIF_46030,Eriopsis biloba,0.85,-63.37,1042662101,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,NA,"Serra de Aracá, Platô da Serra Aracá, parte SE da Serra Norte.",NA,BR,1200,2,1984,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",123388,110,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,6,-1,"c(-63.37, 0.85)",TRUE
129000,GBIF_53663,Eriopsis rutidobulbon,9.25,-79.5,1261356796,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Schltr.,"Cerro Jefe region, along road toward Río San Cristobal, in Chagras drainage,",NA,PA,800,2,1986,PRESERVED_SPECIMEN,MO,Tropicos,640517,8484,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71781,Eriopsis rutidobulbon,Eriopsis,rutidobulbon,Hook.,Species,Accepted,NA,634223-1,71781,6,1,"c(-79.5, 9.25)",TRUE
129126,GBIF_53791,Eriopsis biloba,-5.78333,-77.88333,1261366149,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"Distrito of Pomacocha. Vicinity of Lago Pomacocha, near Km 340 on main Moyobamba- Chachapoyas road; on steep sides of road cut.",NA,PE,2200,4,1984,PRESERVED_SPECIMEN,MO,Tropicos,650633,58296A,Thomas B. Croat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-77.88333, -5.78333)",TRUE
173096,GBIF_116309,Eriopsis biloba,-9.437222,-74.735555,1258127648,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,Distrito Yuyapichis. CC.NN Tahuantinsuyo. Reserva Comunal el Sira.,NA,PE,1308,5,2014,PRESERVED_SPECIMEN,HOXA,Tropicos,100798166,27875,Luis Valenzuela G.;Jaime Flores,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-74.735555, -9.437222)",TRUE
182386,GBIF_127719,Eriopsis biloba,16.518056,-88.903056,1258293404,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"Southern Maya Mountains, Bladen Nature Reserve, mountains 1.7 airline km north of the Ek Xux archeological site.",NA,BZ,525,5,1996,PRESERVED_SPECIMEN,MO,Tropicos,1084007,36234,Gerrit Davidse,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-88.903056, 16.518056)",TRUE
183587,GBIF_128982,Eriopsis altissima,5.933333,-62.283333,1261389255,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Rchb. f. & Warsz.,"Río Acanán, Guarumo. 5 km W of Amaruay-tepuil. 0 to 1 km N of base camp at Guadequen.",NA,VE,470,5,1986,PRESERVED_SPECIMEN,MO,Tropicos,673541,20890,Ronald L. Liesner;Bruce K. Holst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,16,1,"c(-62.283333, 5.933333)",TRUE
191796,GBIF_137711,Eriopsis altissima,0.016,-76.183,47766195,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,NA,Reserva Faunistica Cuyabeno. Inundated tropical rain forest near Palma Roja in Laguna Grande.,NA,EC,265,4,1989,PRESERVED_SPECIMEN,AU,AAU,H.Balslev84855,without-number,H. Balslev,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,6,-1,"c(-76.183, 0.016)",TRUE
192425,GBIF_138515,Eriopsis altissima,-0.583,-75.25,47766308,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,NA,"Río Lagarto Cocha, near Redondo Cocha and Imuya Cocha. 2 hours in canoe from Río Aguarico. Flooded forest. Black water. Water level very high.",NA,EC,190,6,1983,PRESERVED_SPECIMEN,AU,AAU,J.E.Lawesson44283,without-number,J.E. Lawesson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,6,-1,"c(-75.25, -0.583)",TRUE
205750,GBIF_158165,Eriopsis altissima,-2.416667,-60.966667,2859128564,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Rchb.f. & Warsz.,"Rio Negro, Santo Antonio",NA,BR,NA,6,1990,PRESERVED_SPECIMEN,CM,botany,CM463542,21295,"Mori, S.; Gracie, C.; Betros, H.; Hecht, S.;",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,15,1,"c(-60.966667, -2.416667)",TRUE
206553,GBIF_159011,Eriopsis altissima,-2.266667,-61.016667,2859386547,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Rchb.f. & Warsz.,Rio Negro,NA,BR,NA,7,1995,PRESERVED_SPECIMEN,CM,botany,CM463565,205,"Wright, F.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,15,1,"c(-61.016667, -2.266667)",TRUE
209770,GBIF_162558,Eriopsis altissima,-2.416667,-60.966667,2859139540,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Rchb.f. & Warsz.,"Rio Negro, Santo Antonio",NA,BR,NA,6,1990,PRESERVED_SPECIMEN,CM,botany,CM354958,21295,"Mori, S.; Gracie, C.; Betros, H.; Hecht, S.; Hecht, J.; Van Etten, M.; Wright, F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,15,1,"c(-60.966667, -2.416667)",TRUE
211443,GBIF_164503,Eriopsis biloba,5.916667,-61,2997344860,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"Pakaraima Mts., Mt. Aymatoi (sandstone)",NA,GF,1150,10,1981,PRESERVED_SPECIMEN,MNHN,P,P00392140,5729,"Maas, Mennega E.A.;ter Welle B.J.H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-61, 5.916667)",TRUE
219646,GBIF_176735,Eriopsis altissima,-2.42,-60.97,1930934884,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Rchb.f. & Warsz.,"Rio Negro, Santo Antonio.",NA,BR,NA,6,1990,PRESERVED_SPECIMEN,NY,NY,547516,21295,S. A. Mori,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,15,1,"c(-60.97, -2.42)",TRUE
219831,GBIF_176926,Eriopsis biloba,5.75,-60.58,2273852571,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"Upper Mazaruni River region, Karowtipu Mountain. Eastern end of mountain.",NA,GY,NA,4,1987,PRESERVED_SPECIMEN,NY,NY,4088330,7590,B. M. Boom,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-60.58, 5.75)",TRUE
220005,GBIF_177107,Eriopsis altissima,-2.2761,-61.0242,1930240581,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Rchb.f. & Warsz.,Barro Branco,NA,BR,NA,7,1995,PRESERVED_SPECIMEN,NY,NY,547519,2601,A. A. de Oliveira,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,15,1,"c(-61.0242, -2.2761)",TRUE
232492,GBIF_191946,Eriopsis biloba,5.88333,-62.43333,1261375243,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"PIAR: Auyan-tepui summit, E edge of massif. 1740 m. 5º53'N, 62º26'W. Open area with large flat rocks and low vegetation, some patches of Bonnetia roraimae scrub.",NA,VE,1740,5,1986,PRESERVED_SPECIMEN,MO,Tropicos,660081,3015,Bruce K. Holst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-62.43333, 5.88333)",TRUE
236676,GBIF_196569,Eriopsis altissima,-2.623611,-60.323611,2997406775,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Rchb.f. & Warsz.,"Rio Cuieiras, 50 km upstream, near farm of Sr. Nemerio.",NA,BR,NA,4,1974,PRESERVED_SPECIMEN,NY,NY,NY00547518,P21975,D. G. Campbell,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,15,1,"c(-60.323611, -2.623611)",TRUE
246684,GBIF_210963,Eriopsis biloba,1.083333,-72.666667,2013820865,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,Sin Datos.,NA,CO,750,8,1992,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,418716,2415,P. A. Palacios,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-72.666667, 1.083333)",TRUE
257266,GBIF_223125,Eriopsis rutidobulbon,-0.25,-78.733333,1261366890,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Hook.,Quito-Sto. Domingo via Chiriboga.,NA,EC,1700,4,1976,PRESERVED_SPECIMEN,SEL,Tropicos,651400,669B,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71781,Eriopsis rutidobulbon,Eriopsis,rutidobulbon,Hook.,Species,Accepted,NA,634223-1,71781,0,5,"c(-78.733333, -0.25)",TRUE
272785,GBIF_249641,Eriopsis biloba,5.88333,-62.43333,2515582310,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"Edo. Bolivar: Dist. Piar: Auyan-tepui summit, E edge of massif.",NA,VE,NA,4,1986,PRESERVED_SPECIMEN,NA,Botany,U.1466648,"Holst, BK 3015",Holst BK,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-62.43333, 5.88333)",TRUE
283405,GBIF_263964,Eriopsis biloba,15.77972,-84.56388,4061619103,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"Klauban, poblado al oeste de Brus Laguna, a orilla de la laguna. Clima lluvioso tropical",NA,HN,NA,1,1976,PRESERVED_SPECIMEN,NA,Tropicos,3202192,361A,Ernesto Vargas N.;Gustavo Cruz;J. Espinosa;Jonatán Espinoza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-84.56388, 15.77972)",TRUE
289080,GBIF_286411,Eriopsis biloba,5.466667,-60.066667,3699025672,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,Cuyuni-Mazaruni Region; Ayanganna Plateau; savanna N of mt. center; scrub forest island on talus slope.,NA,GY,675,3,1987,PRESERVED_SPECIMEN,BBS,BBS,BBS0024794,10851,"Pipoly, J. J. et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-60.066667, 5.466667)",TRUE
289081,GBIF_286412,Eriopsis biloba,5.916667,-61,3699025653,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"Pakaraima Mts., Mt. Aymatoi (sandstone).",NA,GY,1150,10,1981,PRESERVED_SPECIMEN,BBS,BBS,BBS0024795,5729,"Maas, P. J. M. et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-61, 5.916667)",TRUE
290035,GBIF_287440,Eriopsis biloba,5.66666,-61.5,1261374188,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"PIAR: Extremo N de la Gran Sabana. Aprox. 100 kms al S de El Dorado en línea directa. Carretera El Dorado-Sta. Elena. 61º30'W, 5º40'N, alt. 1300 m. Sabana.",NA,VE,1300,4,1985,PRESERVED_SPECIMEN,MO,Tropicos,659039,2154,Bruce K. Holst;Julian A. Steyermark;Bruno J. Manara,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-61.5, 5.66666)",TRUE
297355,GBIF_295834,Eriopsis altissima,1.083333,-66.416667,4102433258,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Rchb.f. & Warsz.,"Forest around small laja, middle part of the Rio Baria, Dept. Rio Negro.",NA,VE,80,6,1984,PRESERVED_SPECIMEN,BRIT,VDB,BRIT551721,26845,Gerrit Davidse; James S. Miller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,536926,Eriopsis altissima,Eriopsis,altissima,Lindl.,Species,Accepted,NA,77217126-1,536926,15,1,"c(-66.416667, 1.083333)",TRUE
315277,GBIF_319865,Eriopsis biloba,0.880833,-63.329167,1424489992,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"Serra do Aracá, trilha da cachoeira do Eldorado para a cachoeira do Desabamento. Parque Estadual da Serra do Aracá",NA,BR,NA,4,2014,PRESERVED_SPECIMEN,JBRJ,RB,RB00873583,309,R.G. Barbosa-Silva; R.C. Forzza; R. Goldenberg; P. Labiak; F. Obermüller; A. Amorim; L. Freitas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-63.329167, 0.880833)",TRUE
315631,GBIF_320242,Eriopsis biloba,0.863333,-63.333056,1424503812,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"Serra do Aracá, trilha do acampamento do fosso para a cachoeira do Eldorado, passando pelo mirante. Parque Estadual da Serra do Aracá",NA,BR,990,4,2014,PRESERVED_SPECIMEN,JBRJ,RB,RB00929952,8014,"R.C. Forzza; R. Goldenberg, P.H. Labiak, A.M. Amorim, L. Freitas, F. Obermüller & R.G. Barbosa-Silva",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-63.333056, 0.863333)",TRUE
316811,GBIF_321676,Eriopsis biloba,1.096667,-72.738056,1707534846,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,NA,Nororiente 20° del campamento,NA,CO,NA,8,1992,PRESERVED_SPECIMEN,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),FMB,FMB-41817,7631 (313),"Barbosa, César",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,6,-1,"c(-72.738056, 1.096667)",TRUE
318080,GBIF_323145,Eriopsis biloba,-4.591111,-78.848611,3122038308,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,Cordillera del Cóndor. Reserva Biológica Cerro Plateado. Colecciones entre el Río Numpatakaime y Campamento 2 - Base de la meseta.,NA,EC,1750,9,2016,PRESERVED_SPECIMEN,QCA,Tropicos,101279590,10362,Álvaro J. Pérez C.;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-78.848611, -4.591111)",TRUE
318856,GBIF_324444,Eriopsis biloba,9.9,-83.62,1258516927,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"near Pavones, near Turrialba",NA,CR,700,NA,without-year,PRESERVED_SPECIMEN,F,Tropicos,1301608,58.421,C. K. Horich,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-83.62, 9.9)",TRUE
333991,GBIF_346880,Eriopsis biloba,3.7,-66.8,3029806340,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindley,"Cerro Yapacana, alrededores del campamento a lo largo del río en las faldas en la parte suroeste",NA,VE,825,5,1970,PRESERVED_SPECIMEN,AMES,AMES,barcode-01985153,103072,J. A. Steyermark & G. S. Bunting,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,2,5,"c(-66.8, 3.7)",TRUE
362680,GBIF_392099,Eriopsis biloba,3.75,-62.5,2273854363,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"Cerro Marutani, cumbre, selva siempre verde tupida en la altiplanicie cerca de la frontera Venezolana-Brasilera",NA,VE,NA,1,1981,PRESERVED_SPECIMEN,NY,NY,4088315,124039,J. A. Steyermark,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-62.5, 3.75)",TRUE
362777,GBIF_392210,Eriopsis biloba,5.07,-59.95,2273854321,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,"Pakaraima Mts, Mt. Kukuinang, Kukuinang savanna, 2-3 km SSW from mountain peak",NA,GY,NA,2,1993,PRESERVED_SPECIMEN,NY,NY,4088323,1618,T. W. Henkel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-59.95, 5.07)",TRUE
363191,GBIF_392658,Eriopsis biloba,0.901657,-63.374591,1928585293,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,Arredores do R. da Serra Aracá.,NA,BR,NA,1,1978,PRESERVED_SPECIMEN,NY,NY,1721223,2284,N. A. Rosa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-63.374591, 0.901657)",TRUE
366128,GBIF_396273,Eriopsis biloba,-4.591111,-78.848611,4069067544,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,Cordilleras del Condor-Kutuku. Colecciones entre el rio Numpatakaime y Campamento 2-Base de la meseta.,NA,EC,1750,9,2016,PRESERVED_SPECIMEN,QCA,QCA:Plantae,244348,10362,"Perez, A.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-78.848611, -4.591111)",TRUE
371776,GBIF_406865,Eriopsis biloba,0.9,-66.07,2273870023,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,Lindl.,Camp III. Neblina and Massif. NW Plateau (Arm) 13.5 km ENE of Cerro de La Neblina Base Camp,NA,VE,NA,2,1984,PRESERVED_SPECIMEN,NY,NY,4088321,16007,R. L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,0,6,"c(-66.07, 0.9)",TRUE
377193,GBIF_414151,Eriopsis biloba,-5,-63,1228497871,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Eriopsis,SPECIES,NA,Amazonas,NA,BR,NA,1,1978,PRESERVED_SPECIMEN,F,Botany,V0433168F,2284,N. A. Rosa & S. B. Lira,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,71775,Eriopsis biloba,Eriopsis,biloba,Lindl.,Species,Accepted,NA,327093-2,71775,6,-1,"c(-63, -5)",TRUE
