V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
182526,GBIF_127870,Cischweinfia pusilla,8.68916,-79.92055,1258518891,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,(C. Schweinf.) Dressler & N.H. Williams,"Forested area, top of Cerro Campana",NA,PA,822.96,9,1982,PRESERVED_SPECIMEN,MO,Tropicos,1303391,15083,William G. D'Arcy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41117,Cischweinfia pusilla,Cischweinfia,pusilla,(C.Schweinf.) Dressler & N.H.Williams,Species,Accepted,NA,59195-2,41117,2,26,"c(-79.92055, 8.68916)",TRUE
185459,GBIF_130975,Cischweinfia nana,8.75,-82.25,4031497573,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,Dressler,"Camp Hornito, Fortuna dam site. [Coordinates on orginal label: 82º10'W, 8º44'N]",NA,PA,1100,9,1977,PRESERVED_SPECIMEN,MO,Tropicos,101887855,5700,Robert L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,233312,Cischweinfia nana,Cischweinfia,nana,Dressler,Species,Accepted,NA,321847-2,233312,0,8,"c(-82.25, 8.75)",TRUE
188050,GBIF_133730,Cischweinfia jarae,-1.816667,-76.7,4031398858,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,Dodson,"Pozo petrolero """"""""Garza"""""""" de TENNECO. 35 km (aprox.) al noreste de Montalvo.",NA,EC,260,7,1989,PRESERVED_SPECIMEN,MO,Tropicos,101589533,4667,Vlastimil Zak;Severo Espinoza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41112,Cischweinfia jarae,Cischweinfia,jarae,Dodson & D.E.Benn.,Species,Accepted,NA,301578-2,41112,12,5,"c(-76.7, -1.816667)",TRUE
189303,GBIF_135119,Cischweinfia dasyandra,8.95,-82.933333,1261357397,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,(Rchb. f.) Dressler & N.H. Williams,"Foothills of the Cordillera de Talamanca, just north of Santa Elena on Fila Cotón, south of Agua Caliente.",NA,CR,1100,9,1984,PRESERVED_SPECIMEN,MO,Tropicos,641187,28281,Gerrit Davidse;Gerardo Herrera Ch.;Michael H. Grayum,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41110,Cischweinfia dasyandra,Cischweinfia,dasyandra,(Rchb.f.) Dressler & N.H.Williams,Species,Accepted,NA,59192-2,41110,2,19,"c(-82.933333, 8.95)",TRUE
189375,GBIF_135196,Cischweinfia jarae,-9.5,-75.85,1261361374,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,Dodson,Districto Chinchao; San Juán de Cocheros.,NA,PE,1300,12,1976,PRESERVED_SPECIMEN,MO,Tropicos,645516,9516,José Schunke V.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41112,Cischweinfia jarae,Cischweinfia,jarae,Dodson & D.E.Benn.,Species,Accepted,NA,301578-2,41112,12,5,"c(-75.85, -9.5)",TRUE
257882,GBIF_223916,Cischweinfia jarae,-14.45,-67.93333,4061013187,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,Dodson & D.E. Benn.,"Parque Nacional Madidi, refugio Chalalßn, campamento Eslabon y alrededores..",NA,BO,450,4,2000,PRESERVED_SPECIMEN,NA,Tropicos,1859121,1007,Thorsten Krömer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41112,Cischweinfia jarae,Cischweinfia,jarae,Dodson & D.E.Benn.,Species,Accepted,NA,301578-2,41112,1,13,"c(-67.93333, -14.45)",TRUE
264244,GBIF_231552,Cischweinfia jarae,-0.733333,-77.083333,4061214674,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,Dodson,Canton Francisco de Orellana. Via de los Zorros; pozo petrolero Jaguar I. 40 km al SW de Coca. Bosque húmedo Tropical.,NA,EC,250,10,1988,PRESERVED_SPECIMEN,ECUAMZ,Tropicos,101590171,3244,Walter A. Palacios,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41112,Cischweinfia jarae,Cischweinfia,jarae,Dodson & D.E.Benn.,Species,Accepted,NA,301578-2,41112,12,5,"c(-77.083333, -0.733333)",TRUE
264971,GBIF_232717,Cischweinfia dasyandra,8.61666,-80.11,1258533899,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,(Rchb. f.) Dressler & N.H. Williams,Cloud forest above El Valle,NA,PA,1000,9,1976,PRESERVED_SPECIMEN,SEL,Tropicos,1317793,1112,Carl A. Luer;Henry P. Butcher,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41110,Cischweinfia dasyandra,Cischweinfia,dasyandra,(Rchb.f.) Dressler & N.H.Williams,Species,Accepted,NA,59192-2,41110,2,19,"c(-80.11, 8.61666)",TRUE
266619,GBIF_234798,Cischweinfia jarae,-1.06666,-77.61666,1261349705,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,Dodson,"ESTACION BIOLOGICA JATUN SACHA Margen derecho del Río Napo, 8 km de Puerto Misahuallí. Bosque muy húmedo Tropical. Suelos rojos de colinas por bosque primario.",NA,EC,450,9,1988,PRESERVED_SPECIMEN,QCNE,Tropicos,632918,2954,Walter A. Palacios,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41112,Cischweinfia jarae,Cischweinfia,jarae,Dodson & D.E.Benn.,Species,Accepted,NA,301578-2,41112,12,5,"c(-77.61666, -1.06666)",TRUE
320253,GBIF_326398,Cischweinfia parva,-10.992222,-75.427778,4061276583,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,(C. Schweinf.) Dressler & N.H. Williams,Distrito Huasahuasi. Santuario Nacional Pampa Hermosa.,NA,PE,1600,3,2016,PRESERVED_SPECIMEN,HOXA,Tropicos,102983772,29624,Luis Valenzuela G.;Rodolfo Vásquez;Rocío Rojas;Jaime Flores;Renhart Apaza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41114,Cischweinfia parva,Cischweinfia,parva,(C.Schweinf.) Dressler & N.H.Williams,Species,Accepted,NA,59193-2,41114,2,26,"c(-75.427778, -10.992222)",TRUE
348915,GBIF_369838,Cischweinfia dasyandra,10.26,-84.18,4061940921,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,(Rchb. f.) Dressler & N.H. Williams,"Atlantic rainforest of Sarapiqui, near Cariblanco.",NA,CR,850,NA,without-year,PRESERVED_SPECIMEN,UC,Tropicos,101596666,59.1131-1,C. K. Horich,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41110,Cischweinfia dasyandra,Cischweinfia,dasyandra,(Rchb.f.) Dressler & N.H.Williams,Species,Accepted,NA,59192-2,41110,2,19,"c(-84.18, 10.26)",TRUE
350276,GBIF_371854,Cischweinfia rostrata,-0.58333,-79.36666,1261386236,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,Dressler & N.H. Williams,Río Palenque Biological Station.,NA,EC,185,NA,without-year,PRESERVED_SPECIMEN,RPSC,Tropicos,671017,5730,Calaway H. Dodson;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41118,Cischweinfia rostrata,Cischweinfia,rostrata,Dressler & N.H.Williams,Species,Accepted,NA,59196-2,41118,1,15,"c(-79.36666, -0.58333)",TRUE
353114,GBIF_375513,Cischweinfia jarae,-15.533333,-67.35,4062218203,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cischweinfia,SPECIES,Dodson & D.E. Benn.,"Alto Beni, Colonia Tarapacá, Parcela II",NA,BO,625,12,1998,PRESERVED_SPECIMEN,herb. Vásquez,Tropicos,101825122,192,Thorsten Krömer;Amparo Acebey,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,41112,Cischweinfia jarae,Cischweinfia,jarae,Dodson & D.E.Benn.,Species,Accepted,NA,301578-2,41112,1,13,"c(-67.35, -15.533333)",TRUE
