V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
110236,GBIF_14112,Batemannia colleyi,4.05,-52.7,439451704,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,Lindl.,NA,NA,GF,390,3,1992,PRESERVED_SPECIMEN,MNHN,P,P00447814,without-number,"Larpin, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,0,6,"c(-52.7, 4.05)",TRUE
111252,GBIF_15261,Batemannia colleyi,-7.614444,-72.895556,4526420444,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,Angiospermas,Slopes of Serra da Moa,NA,BR,NA,4,1971,PRESERVED_SPECIMEN,NA,New York Botanical Garden,NY00482373,12143,G. T. Prance;,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,11,1,"c(-72.895556, -7.614444)",TRUE
111266,GBIF_15276,Batemannia colleyi,-7.454444,-73.687222,4526421314,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,Angiospermas,"Bacia do Rio Juruá, Rio Moa, margem direira, Parque Nacional da Serra do Divisor, Apertado da Hora.",NA,BR,NA,5,1996,PRESERVED_SPECIMEN,NA,New York Botanical Garden,NY00230148,1304,M. Silveira;,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,11,1,"c(-73.687222, -7.454444)",TRUE
124351,GBIF_45770,Batemannia colleyi,-2.883333,-59.97,1042488445,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Entre as áreas 1 e 3. Cabeceira do igarapé do Barro Branco.",NA,BR,0,2,1996,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195040,520,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-59.97, -2.883333)",TRUE
124352,GBIF_45771,Batemannia colleyi,-2.883333,-59.97,1042499690,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Margem do igarapé do acará.",NA,BR,0,3,1995,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195047,157,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-59.97, -2.883333)",TRUE
124487,GBIF_45910,Batemannia colleyi,0.85,-63.35,1042611838,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,"Serra de Aracá, North part of Northern mountain near peak. Cloud forest. Plateau of northern massif of Serra Aracá.",NA,BR,700,2,1984,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",132794,29144,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-63.35, 0.85)",TRUE
124490,GBIF_45913,Batemannia colleyi,-2.883333,-59.97,1042619671,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Tinga.",NA,BR,0,8,1993,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195085,1148,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-59.97, -2.883333)",TRUE
124606,GBIF_46035,Batemannia colleyi,-2.883333,-59.97,1042667005,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Fora da Reserva, ao lado da trilha da divisa, próx. meteorol. Solo argiloso.",NA,BR,0,4,1994,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195251,472,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-59.97, -2.883333)",TRUE
124672,GBIF_46102,Batemannia colleyi,-2.883333,-59.97,1042619163,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé da Bolívia.",NA,BR,0,6,1993,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195074,884,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-59.97, -2.883333)",TRUE
124736,GBIF_46171,Batemannia colleyi,-2.883333,-59.97,1042521378,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Estrada da Petrobrás, Reserva Florestal Adolfo Ducke.",NA,BR,0,6,1958,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",6524,58-310,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-59.97, -2.883333)",TRUE
124761,GBIF_46197,Batemannia colleyi,-2.883333,-59.97,1042619670,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,Reserva Florestal Adolfo Ducke,NA,BR,0,3,1996,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195174,1809,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-59.97, -2.883333)",TRUE
124885,GBIF_46327,Batemannia colleyi,-4.815833,-65.03,1042689384,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,"BOGPM- Base de Operações Geólogo Pedro de Moura, Rio Urucú, Terra firme",NA,BR,0,4,2010,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",240576,50,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-65.03, -4.815833)",TRUE
125025,GBIF_46473,Batemannia colleyi,-2.883333,-59.97,1042596434,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke. Forest on terra firme.",NA,BR,0,4,1967,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",20428,4800,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-59.97, -2.883333)",TRUE
127498,GBIF_51690,Batemannia colleyi,3.62348,-53.20925,4565160371,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-53.20925, 3.62348)",TRUE
127509,GBIF_51702,Batemannia colleyi,3.62348,-53.20925,4565160386,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-53.20925, 3.62348)",TRUE
127622,GBIF_51859,Batemannia colleyi,3.62348,-53.20925,4565160556,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,2,2017,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-53.20925, 3.62348)",TRUE
127692,GBIF_51966,Batemannia colleyi,3.62348,-53.20925,4565160676,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,5,2015,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-53.20925, 3.62348)",TRUE
127924,GBIF_52496,Batemannia colleyi,3.62348,-53.20925,4565161261,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,2,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,6,-1,"c(-53.20925, 3.62348)",TRUE
143030,GBIF_68893,Batemannia colleyi,-7.6178537,-72.897558,1931046314,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,Lindl.,Slopes of Serra da Moa,NA,BR,NA,4,1971,PRESERVED_SPECIMEN,NY,NY,482373,12143,G. T. Prance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,0,6,"c(-72.897558, -7.6178537)",TRUE
151772,GBIF_83388,Batemannia colleyi,1.83,-59.08,1928618384,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,Lindl.,"Kassikaityu R., 0-1 km N of landing at terminus of trail from Kuyuwini R.",NA,GY,NA,5,1997,PRESERVED_SPECIMEN,NY,NY,1477423,4679,H. D. Clarke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,0,6,"c(-59.08, 1.83)",TRUE
152331,GBIF_83967,Batemannia colleyi,3.62,-53.2,1931153954,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Batemannia,SPECIES,Lindl.,Saül and vicinity: Route de Bélizon. Close to Eaux Claires.,NA,GF,NA,10,1992,PRESERVED_SPECIMEN,NY,NY,1477422,22675,S. A. Mori,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,20082,Batemannia colleyi,Batemannia,colleyi,Lindl.,Species,Accepted,NA,325516-2,20082,0,6,"c(-53.2, 3.62)",TRUE
