V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106788,GBIF_10000,Pabstiella seriata,3.13333,-58.53333,2517507089,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Lindl.,NA,NA,GY,NA,9,1999,PRESERVED_SPECIMEN,NA,Botany,U.1461472,"Jansen-Jacobs, MJ 6137",Jansen-Jacobs MJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,492666,Pabstiella seriata,Pabstiella,seriata,(Lindl.) Luer & Toscano,Species,Accepted,NA,77139378-1,492666,17,6,"c(-58.53333, 3.13333)",TRUE
111246,GBIF_15253,Pabstiella aveniformis,-27.064444,-49.094444,4526419919,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Angiospermas,"Morro do Sapo, Parque Nacional da Serra do Itajaí.",NA,BR,NA,10,2013,PRESERVED_SPECIMEN,NA,FURB,FURB22766,3114,"Gasper, A.L. de;Vieira, C.,Funez, L.A.,Kassner-Filho, A.,Bittencourt, F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373832,Pabstiella aveniformis,Pabstiella,aveniformis,(Hoehne) Luer,Species,Accepted,NA,77094066-1,373832,13,1,"c(-49.094444, -27.064444)",TRUE
111269,GBIF_15279,Pabstiella imbeana,-20.3,-40.533333,4526421440,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Angiospermas,"São Paulo Viana, beira da estrada. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",NA,BR,NA,5,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00528240,5186,A.P. Fontana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,472302,Pabstiella imbeana,Pabstiella,imbeana,(Brade) F.Barros & C.F.Hall,Species,Accepted,NA,77119979-1,472302,24,2,"c(-40.533333, -20.3)",TRUE
111302,GBIF_15315,Pabstiella fusca,-22.366944,-44.624444,4526424310,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Angiospermas,Maromba (Visconde de Mauá). Sítio do Darci.,NA,BR,NA,2,2011,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00762269,214,F.F.V.A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463790,Pabstiella fusca,Pabstiella,fusca,(Lindl.) Chiron & Xim.Bols.,Species,Accepted,NA,77104677-1,463790,22,1,"c(-44.624444, -22.366944)",TRUE
111306,GBIF_15319,Pabstiella fusca,-27.724167,-48.535,4526424416,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Angiospermas,Parque Municipal da Lagoa do Peri.,NA,BR,NA,3,2010,PRESERVED_SPECIMEN,NA,FURB,FURB35878,1535,"Cadorin, T.J.;Grosch, B.,Zimmermann, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463790,Pabstiella fusca,Pabstiella,fusca,(Lindl.) Chiron & Xim.Bols.,Species,Accepted,NA,77104677-1,463790,22,1,"c(-48.535, -27.724167)",TRUE
111322,GBIF_15336,Pabstiella trifida,-20.520556,-41.100556,4526425439,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Angiospermas,Topo do Forninho. Inselbergues. Parque Estadual do Forno Grande,NA,BR,NA,1,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00549206,2370,"C.N. Fraga;R.C. Forzza,R. Goldenberg",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,375082,Pabstiella trifida,Pabstiella,trifida,(Lindl.) Luer,Species,Accepted,NA,77094139-1,375082,13,1,"c(-41.100556, -20.520556)",TRUE
111400,GBIF_15418,Pabstiella yauaperyensis,-8.268611,-72.743889,4526431066,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Angiospermas,"Porongaba, Rio Juruá-Mirim",NA,BR,NA,5,1971,PRESERVED_SPECIMEN,NA,New York Botanical Garden,NY00512498,P13034,P. J. M. Maas;,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,256393,Pabstiella yauaperyensis,Pabstiella,yauaperyensis,(Barb.Rodr.) F.Barros,Species,Accepted,NA,1019710-2,256393,18,1,"c(-72.743889, -8.268611)",TRUE
111411,GBIF_15430,Pabstiella calcarata,-22.500278,-44.808056,4526431767,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Angiospermas,"Planalto, próximo do Km 3.",NA,BR,NA,1,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00794097,131,F.F.V.A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373842,Pabstiella calcarata,Pabstiella,calcarata,(Cogn.) Luer,Species,Accepted,NA,77094072-1,373842,12,2,"c(-44.808056, -22.500278)",TRUE
111438,GBIF_15457,Pabstiella trifida,-20.291389,-40.519444,4526433637,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Angiospermas,"Localidade de Alegre, trilha do Pau Oco. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",NA,BR,NA,2,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00522023,10648,L. Kollmann,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,375082,Pabstiella trifida,Pabstiella,trifida,(Lindl.) Luer,Species,Accepted,NA,77094139-1,375082,13,1,"c(-40.519444, -20.291389)",TRUE
111454,GBIF_15475,Pabstiella wawraeana,-20.168333,-40.302778000000004,4526434955,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Angiospermas,Mestre Álvaro.,NA,BR,NA,NA,2009,PRESERVED_SPECIMEN,NA,MBML,MBML042998,9253,"Guiard, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463802,Pabstiella wawraeana,Pabstiella,wawraeana,(Barb.Rodr.) Chiron & Xim.Bols.,Species,Accepted,NA,77104680-1,463802,27,1,"c(-40.302778, -20.168333)",TRUE
113832,GBIF_18024,Pabstiella yauaperyensis,-15.866667,-47.85,4427186912,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,(Barb.Rodr.) F.Barros,"Jardim Botânico de Brasília, Viveiro BAG número 668",NA,BR,1087.5,6,2005,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027634,3781,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,256393,Pabstiella yauaperyensis,Pabstiella,yauaperyensis,(Barb.Rodr.) F.Barros,Species,Accepted,NA,1019710-2,256393,0,21,"c(-47.85, -15.866667)",TRUE
114881,GBIF_19092,Pabstiella seriata,5,-53.025,2382931188,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,(Lindl.) Luer & Toscano,"Sinnamary River, above Petit Saut between Crique Plomb and Crique Tigre, 500 m above Saut Tigre, in area to be inundated by waters of Petit Saut, non-flooded moist forest.",NA,GF,NA,8,1993,PRESERVED_SPECIMEN,NY,NY,04110971,1798,E. A. Christenson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,492666,Pabstiella seriata,Pabstiella,seriata,(Lindl.) Luer & Toscano,Species,Accepted,NA,77139378-1,492666,0,23,"c(-53.025, 5)",TRUE
114902,GBIF_19114,Pabstiella sordida,-25.4319824,-49.2736973,1929818052,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,(Kraenzl.) Luer,NA,NA,BR,NA,NA,without-year,PRESERVED_SPECIMEN,NY,NY,533609,8531(HBG),M. Lange,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,375060,Pabstiella sordida,Pabstiella,sordida,(Kraenzl.) Luer,Species,Accepted,NA,77094132-1,375060,0,15,"c(-49.2736973, -25.4319824)",TRUE
124527,GBIF_45950,Pabstiella yauaperyensis,2.348876,-60.86,1042684185,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,NA,"Parque Nacional do Viruá, Várzea do rio Barauana.",NA,BR,30,9,2010,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",236377,382,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,256393,Pabstiella yauaperyensis,Pabstiella,yauaperyensis,(Barb.Rodr.) F.Barros,Species,Accepted,NA,1019710-2,256393,21,-1,"c(-60.86, 2.348876)",TRUE
124561,GBIF_45984,Pabstiella yauaperyensis,2.0092,-63.17,1042568597,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,NA,"SEMA - Ecological Reserve, Ilha de Maracá, Uaicas",NA,BR,0,5,1987,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",167428,229,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,256393,Pabstiella yauaperyensis,Pabstiella,yauaperyensis,(Barb.Rodr.) F.Barros,Species,Accepted,NA,1019710-2,256393,21,-1,"c(-63.17, 2.0092)",TRUE
124713,GBIF_46147,Pabstiella yauaperyensis,1.347222,-60.85,1042689565,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,NA,Parque Nacional do Viruá,NA,BR,0,9,2011,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",241057,695,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,256393,Pabstiella yauaperyensis,Pabstiella,yauaperyensis,(Barb.Rodr.) F.Barros,Species,Accepted,NA,1019710-2,256393,21,-1,"c(-60.85, 1.347222)",TRUE
124815,GBIF_46253,Pabstiella yauaperyensis,-2.883333,-59.97,1042521536,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Adolfo Ducke, picada PH, piquete 8.",NA,BR,0,10,1957,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",5919,57-161,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,256393,Pabstiella yauaperyensis,Pabstiella,yauaperyensis,(Barb.Rodr.) F.Barros,Species,Accepted,NA,1019710-2,256393,21,-1,"c(-59.97, -2.883333)",TRUE
125022,GBIF_46468,Pabstiella yauaperyensis,-2.566667,-61.45,1042583440,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,NA,Barro Branco,NA,BR,0,7,1995,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",186616,2602,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,256393,Pabstiella yauaperyensis,Pabstiella,yauaperyensis,(Barb.Rodr.) F.Barros,Species,Accepted,NA,1019710-2,256393,21,-1,"c(-61.45, -2.566667)",TRUE
125040,GBIF_46489,Pabstiella yauaperyensis,-2.883333,-59.97,1042619471,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará.",NA,BR,0,9,1995,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195164,1712,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,256393,Pabstiella yauaperyensis,Pabstiella,yauaperyensis,(Barb.Rodr.) F.Barros,Species,Accepted,NA,1019710-2,256393,21,-1,"c(-59.97, -2.883333)",TRUE
125043,GBIF_46492,Pabstiella yauaperyensis,-2.883333,-59.97,1042620669,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará.",NA,BR,0,1,1998,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195203,1959,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,256393,Pabstiella yauaperyensis,Pabstiella,yauaperyensis,(Barb.Rodr.) F.Barros,Species,Accepted,NA,1019710-2,256393,21,-1,"c(-59.97, -2.883333)",TRUE
125071,GBIF_46523,Pabstiella yauaperyensis,2.0092,-63.17,1042709872,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,NA,"SEMA Ecological Reserve, Ilha de Maracá. Uaicas - forest beside river.",NA,BR,0,5,1987,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",167428,M229,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,256393,Pabstiella yauaperyensis,Pabstiella,yauaperyensis,(Barb.Rodr.) F.Barros,Species,Accepted,NA,1019710-2,256393,21,-1,"c(-63.17, 2.0092)",TRUE
125121,GBIF_46576,Pabstiella yauaperyensis,-2.883333,-59.97,1042619393,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará.",NA,BR,0,9,1994,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195134,1438,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,256393,Pabstiella yauaperyensis,Pabstiella,yauaperyensis,(Barb.Rodr.) F.Barros,Species,Accepted,NA,1019710-2,256393,21,-1,"c(-59.97, -2.883333)",TRUE
127515,GBIF_51709,Pabstiella uniflora,3.62348,-53.20925,4565160392,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373862,Pabstiella uniflora,Pabstiella,uniflora,(Lindl.) Luer,Species,Accepted,NA,77094143-1,373862,13,-1,"c(-53.20925, 3.62348)",TRUE
127856,GBIF_52331,Pabstiella ephemera,3.62348,-53.20925,4565161074,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373902,Pabstiella ephemera,Pabstiella,ephemera,(Lindl.) Luer,Species,Accepted,NA,77094084-1,373902,13,-1,"c(-53.20925, 3.62348)",TRUE
127902,GBIF_52436,Pabstiella seriata,3.62348,-53.20925,4565161195,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,492666,Pabstiella seriata,Pabstiella,seriata,(Lindl.) Luer & Toscano,Species,Accepted,NA,77139378-1,492666,23,-1,"c(-53.20925, 3.62348)",TRUE
130857,GBIF_55570,Pabstiella tripterantha,-3.625,-78.333,1260640901,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,(Rchb. f.) Luer,Pangui,NA,EC,1000,2,2002,PRESERVED_SPECIMEN,MO,Tropicos,3243839,8176,Alexander Hirtz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,256392,Pabstiella tripterantha,Pabstiella,tripterantha,(Rchb.f.) F.Barros,Species,Accepted,NA,1059564-2,256392,8,6,"c(-78.333, -3.625)",TRUE
137134,GBIF_62635,Pabstiella pleurothalloides,-22.4333,-44.6667,1655987510,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Dusén & Schltr.,"Vicinity of Macieiras, Mount Itatiaya, Estaco Biologica.",NA,BR,1960,1,1929,PRESERVED_SPECIMEN,USF,Herb,50939,1709,J. A. Ferreira,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,375045,Pabstiella pleurothalloides,Pabstiella,pleurothalloides,(Cogn.) Luer,Species,Accepted,NA,77094122-1,375045,12,1,"c(-44.6667, -22.4333)",TRUE
140130,GBIF_65840,Pabstiella fusca,-28.285278,-49.298889,2996468959,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,(Lindl.) Pridgeon & M.W.Chase,Rio Novo.,NA,BR,350,8,1993,PRESERVED_SPECIMEN,CRI,CRI,CRI005960,1644,"Vanilde Citadini-Zanette;Robson dos Santos,Jorge Luiz Waechter",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463790,Pabstiella fusca,Pabstiella,fusca,(Lindl.) Chiron & Xim.Bols.,Species,Accepted,NA,77104677-1,463790,12,9,"c(-49.298889, -28.285278)",TRUE
140132,GBIF_65842,Pabstiella fusca,-28.935278,-49.486111,2996468973,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,(Lindl.) Chiron & Xim.Bols.,Sanga do Veado.,NA,BR,4,4,2011,PRESERVED_SPECIMEN,CRI,CRI,CRI005949,without-number,Lislaine Cardoso de Oliveira,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,463790,Pabstiella fusca,Pabstiella,fusca,(Lindl.) Chiron & Xim.Bols.,Species,Accepted,NA,77104677-1,463790,0,27,"c(-49.486111, -28.935278)",TRUE
140136,GBIF_65846,Pabstiella alligatorifera,-28.748056,-49.472778,2996469103,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Rchb.f.,NA,NA,BR,NA,5,1998,PRESERVED_SPECIMEN,CRI,CRI,CRI014072,without-number,Claudio Ricken,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373839,Pabstiella alligatorifera,Pabstiella,alligatorifera,(Rchb.f.) Luer,Species,Accepted,NA,77094063-1,373839,7,7,"c(-49.472778, -28.748056)",TRUE
140746,GBIF_66484,Pabstiella armeniaca,-25.43,-48.94,2618565582,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,(Barb. Rodr.) Cogn.,Plantae Brasilienses. Paraná: Desvio Ypiranga.,NA,BR,NA,11,1915,PRESERVED_SPECIMEN,S,VascularPlants,S16-14976,without-number,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463986,Pabstiella armeniaca,Pabstiella,armeniaca,(Barb.Rodr.) L.Kollmann,Species,Accepted,NA,77106182-1,463986,9,7,"c(-48.94, -25.43)",TRUE
140747,GBIF_66485,Pabstiella pleurothalloides,-25.35,-48.94,2618392546,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,(Cogn.) Handro,"Plantae Brasilienses. Paraná: Serra do Mar, Monte Alegre.",NA,BR,850,11,1909,PRESERVED_SPECIMEN,S,VascularPlants,S16-15009,9033,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,375045,Pabstiella pleurothalloides,Pabstiella,pleurothalloides,(Cogn.) Luer,Species,Accepted,NA,77094122-1,375045,5,8,"c(-48.94, -25.35)",TRUE
140782,GBIF_66520,Pabstiella wacketii,-25.43,-48.94,1096354988,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Handro & Pabst,"Plantae Brasilienses e civitate Paraná reportatae. Serra do Mar, Ypiranga.",NA,BR,NA,1,1904,PRESERVED_SPECIMEN,S,VascularPlants,S-R-4952,3366,Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,373698,Pabstiella wacketii,Pabstiella,wacketii,(Handro & Pabst) Luer,Species,Accepted,NA,77094148-1,373698,7,14,"c(-48.94, -25.43)",TRUE
140828,GBIF_66568,Pabstiella armeniaca,-25.43,-48.91,2618564587,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,(Barb. Rodr.) Cogn.,Plantae Brasilienses. Paraná: Volta Grande.,NA,BR,NA,9,1915,PRESERVED_SPECIMEN,S,VascularPlants,S16-14978,17204,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463986,Pabstiella armeniaca,Pabstiella,armeniaca,(Barb.Rodr.) L.Kollmann,Species,Accepted,NA,77106182-1,463986,9,7,"c(-48.91, -25.43)",TRUE
140908,GBIF_66651,Pabstiella sordida,-24.26,-49.71,2618389549,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Kraenzl.,Plantae Brasilienses. Paraná: Jaguariahyva.,NA,BR,NA,2,1915,PRESERVED_SPECIMEN,S,VascularPlants,S16-14833,16743,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,375060,Pabstiella sordida,Pabstiella,sordida,(Kraenzl.) Luer,Species,Accepted,NA,77094132-1,375060,7,8,"c(-49.71, -24.26)",TRUE
140909,GBIF_66652,Pabstiella wawraeana,-25.43,-48.94,2618392545,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Cogn.,Plantae Brasilienses. Paraná: Desvio Ypiranga.,NA,BR,NA,10,1909,PRESERVED_SPECIMEN,S,VascularPlants,S16-14983,8892,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463802,Pabstiella wawraeana,Pabstiella,wawraeana,(Barb.Rodr.) Chiron & Xim.Bols.,Species,Accepted,NA,77104680-1,463802,28,1,"c(-48.94, -25.43)",TRUE
141051,GBIF_66808,Pabstiella wawraeana,-25.43,-48.94,2618389556,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,Cogn.,"Plantae Brasilienses. Paraná: Serra do Mar, Ypiranga.",NA,BR,NA,2,1912,PRESERVED_SPECIMEN,S,VascularPlants,S16-14987,without-number,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,463802,Pabstiella wawraeana,Pabstiella,wawraeana,(Barb.Rodr.) Chiron & Xim.Bols.,Species,Accepted,NA,77104680-1,463802,28,1,"c(-48.94, -25.43)",TRUE
141052,GBIF_66809,Pabstiella quadridentata,-29.69,-51.13,2618391583,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,(Barb. Rodr.) Cogn.,Exped. Imæ [primæ] Regnellian. Phanerogamæ. Brasiliae civit. Rio Grande do Sul: Hamburger Berg.,NA,BR,NA,10,1892,PRESERVED_SPECIMEN,S,VascularPlants,S16-15005,A 451,C.A.M. Lindman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,375067,Pabstiella quadridentata,Pabstiella,quadridentata,(Barb.Rodr.) Luer,Species,Accepted,NA,77094126-1,375067,6,7,"c(-51.13, -29.69)",TRUE
142898,GBIF_68758,Pabstiella pleurothalloides,-23.6638657,-46.5300998,1930105923,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,(Cogn.) Luer,Alto da Serra,NA,BR,NA,12,1917,PRESERVED_SPECIMEN,NY,NY,512436,849,Hoehne,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,375045,Pabstiella pleurothalloides,Pabstiella,pleurothalloides,(Cogn.) Luer,Species,Accepted,NA,77094122-1,375045,0,12,"c(-46.5300998, -23.6638657)",TRUE
151612,GBIF_83224,Pabstiella tripterantha,-10.951941,-75.228036,2382930768,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pabstiella,SPECIES,(Rchb.f.) F.Barros,Colonia Perene,NA,PE,NA,6,1929,PRESERVED_SPECIMEN,NY,NY,04110973,25092,E. P. Killip,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,256392,Pabstiella tripterantha,Pabstiella,tripterantha,(Rchb.f.) F.Barros,Species,Accepted,NA,1059564-2,256392,0,18,"c(-75.228036, -10.951941)",TRUE
