V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111325,GBIF_15339,Zygosepalum tatei,-0.795278,-66.023333,4526425622,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,Angiospermas,Trilha da Bacia do Gelo para o Pico. Parque Nacional do Pico da Neblina,NA,BR,NA,9,2012,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00770070,7168,"R.C. Forzza;G. Martinelli,D.P. Costa,M.A. Moraes,M.A.Nadruz,M.R. Blind",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,31,1,"c(-66.023333, -0.795278)",TRUE
114271,GBIF_18468,Zygosepalum labiosum,-0.1483,-66.9356,1931128343,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) Garay,Camanaus,NA,BR,NA,10,1971,PRESERVED_SPECIMEN,NY,NY,1477515,15903,G. T. Prance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,11,8,"c(-66.9356, -0.1483)",TRUE
114765,GBIF_18972,Zygosepalum tatei,5.38,-59.97,1930884469,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,Pakaraima Mtns.; NE plateau of Mt. Ayanganna,NA,GY,NA,10,1992,PRESERVED_SPECIMEN,NY,NY,1477519,3119,B. Hoffman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,34,1,"c(-59.97, 5.38)",TRUE
124919,GBIF_46361,Zygosepalum labiosum,0.833333,-63.28,1042535200,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,"Serra de Aracá, Central Massif of Serra Aracá at base of cliff",NA,BR,350,7,1985,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",146719,351,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,19,-1,"c(-63.28, 0.833333)",TRUE
124979,GBIF_46423,Zygosepalum labiosum,-1,-59,1042679941,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,"Rebio Uatumã., grade do PPBio.",NA,BR,0,4,2007,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",226213,252,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,19,-1,"c(-59, -1)",TRUE
125058,GBIF_46509,Zygosepalum labiosum,-1,-59,1042679896,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,"Rebio Uatumã., grade do PPBio.",NA,BR,0,5,2007,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",227349,7068,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,19,-1,"c(-59, -1)",TRUE
125060,GBIF_46511,Zygosepalum labiosum,-1,-59,1042680493,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,"Rebio Uatumã., grade do PPBio. s/n° parcela L3/500.",NA,BR,0,8,2007,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",226231,UAT8,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,19,-1,"c(-59, -1)",TRUE
125097,GBIF_46549,Zygosepalum labiosum,-5.7,-67.7,1042564250,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,Lago do Caroçal,NA,BR,0,6,2000,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",203869,1024,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,19,-1,"c(-67.7, -5.7)",TRUE
127440,GBIF_51627,Zygosepalum labiosum,3.62348,-53.20925,4565160303,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,7,2016,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,19,-1,"c(-53.20925, 3.62348)",TRUE
127475,GBIF_51662,Zygosepalum labiosum,3.62348,-53.20925,4565160342,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,2,2015,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,19,-1,"c(-53.20925, 3.62348)",TRUE
127578,GBIF_51795,Zygosepalum labiosum,3.62348,-53.20925,4565160489,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,6,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,19,-1,"c(-53.20925, 3.62348)",TRUE
127580,GBIF_51800,Zygosepalum labiosum,3.62348,-53.20925,4565160494,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,9,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,19,-1,"c(-53.20925, 3.62348)",TRUE
127759,GBIF_52100,Zygosepalum labiosum,3.62348,-53.20925,4565160823,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2010,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,19,-1,"c(-53.20925, 3.62348)",TRUE
127888,GBIF_52402,Zygosepalum labiosum,3.62348,-53.20925,4565161160,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,8,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,19,-1,"c(-53.20925, 3.62348)",TRUE
127943,GBIF_52563,Zygosepalum labiosum,3.62348,-53.20925,4565215336,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,2,2017,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,19,-1,"c(-53.20925, 3.62348)",TRUE
128921,GBIF_53584,Zygosepalum angustilabium,5.86666,-62.01666,1261349629,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(C. Schweinf.) Garay,"Piar, Camarcaibarai-tepui, west shoulder. Alt. 1800 to 1900 m. 5º52'N, 62º1'W.",NA,VE,1850,5,1986,PRESERVED_SPECIMEN,MO,Tropicos,632831,21041,Ronald L. Liesner;Julian A. Steyermark;Bruce K. Holst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216160,Zygosepalum angustilabium,Zygosepalum,angustilabium,(C.Schweinf.) Garay,Species,Accepted,NA,661805-1,216160,1,16,"c(-62.01666, 5.86666)",TRUE
128939,GBIF_53602,Zygosepalum tatei,5.5,-65.25,1261350784,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Ames & Schltr.) Garay & Dunst.,"Departamento Atures. Sierra Maigualida, NW sector, small valley along an upper tributary of Caño Iguana.",NA,VE,2000,2,1991,PRESERVED_SPECIMEN,MO,Tropicos,634082,4867,Paul E. Berry;Otto Huber;Judith Rosales C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,7,17,"c(-65.25, 5.5)",TRUE
143110,GBIF_68975,Zygosepalum tatei,3.58,-65.37,1930999738,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Ames & C.Schweinf.) Garay & Dunst.,"Cima del Cerro Marahuacea sur, sector nor-este y parte del nor-oeste",NA,VE,NA,10,1988,PRESERVED_SPECIMEN,NY,NY,1477520,2684,H. Rodríguez-Rodríguez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,0,35,"c(-65.37, 3.58)",TRUE
163906,GBIF_104289,Zygosepalum tatei,3.61667,-65.35,2515495947,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Ames & Schweinf.) G.A.Romero & Carnevali,"Terr. Fed. Amazonas, Dpto. Atabapo: Cerro Marahauca. Summit on SE corner.",NA,VE,NA,10,1988,PRESERVED_SPECIMEN,NA,Botany,U.1468842,"Liesner, RL 24776",Liesner RL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,19,12,"c(-65.35, 3.61667)",TRUE
190203,GBIF_136055,Zygosepalum labiosum,7.23333,-58.95,1260201717,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) Garay,"Region: Pomeroon-Supenam. Pomeroon R. watershed; Issororo River, 9-10 km W of confl. with Pomeroon River. Gallery forest, swamp forest merged. Upland mixed evergreen forest.",NA,GY,12,9,1992,PRESERVED_SPECIMEN,MO,Tropicos,2846187,2668,Bruce Hoffman;L. Roberts,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,11,8,"c(-58.95, 7.23333)",TRUE
198819,GBIF_146716,Zygosepalum labiosum,2.566111,-60.774444,1424730825,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) L.O.Williams,Serra Grande,NA,BR,NA,11,2014,PRESERVED_SPECIMEN,JBRJ,RB,RB01210572,8378,"R.C. Forzza; M. Nadruz, D.P. Costa, C.S. Costa & R. Azoury",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,10,8,"c(-60.774444, 2.566111)",TRUE
233731,GBIF_193240,Zygosepalum tatei,3.616667,-65.35,1261388472,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Ames & Schltr.) Garay & Dunst.,Cerro Marahuaca. Summit on SE corner.,NA,VE,2700,10,1988,PRESERVED_SPECIMEN,MO,Tropicos,673292,24776,Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,7,17,"c(-65.35, 3.616667)",TRUE
247642,GBIF_211955,Zygosepalum tatei,3.833333,-65.466667,1898922331,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,"Cerro Marahuaca, cumbre, sección noreste",NA,VE,2590,NA,1983,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,329615,129195,J. Steyermark,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,34,1,"c(-65.466667, 3.833333)",TRUE
251563,GBIF_216381,Zygosepalum labiosum,4.05,-52.7,437860227,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) C.Schweinf.,NA,NA,GF,120,3,1992,PRESERVED_SPECIMEN,MNHN,P,P00447918,without-number,"Larpin, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,0,19,"c(-52.7, 4.05)",TRUE
262614,GBIF_229630,Zygosepalum labiosum,2.95,-52.53333,437496473,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) C.Schweinf.,NA,NA,GF,150,5,1995,PRESERVED_SPECIMEN,MNHN,P,P00447913,without-number,"Cremers, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,0,19,"c(-52.53333, 2.95)",TRUE
297288,GBIF_295758,Zygosepalum tatei,0.933333,-65.966667,4102441351,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Ames & C.Schweinf.) Garay & Dunst.,"Cerro Neblina Valle de Titricó, North of Pico Phelps, treeless plateau.",NA,VE,2200,12,1984,PRESERVED_SPECIMEN,BRIT,VDB,BRIT464359,59534,Thomas B. Croat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,0,35,"c(-65.966667, 0.933333)",TRUE
315251,GBIF_319837,Zygosepalum tatei,0.789167,-66.021389,1424460911,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Ames & C.Schweinf.) G.A.Romero & Carnevali,"Parque Nacional do Pico da Neblina, base do Pico da Neblina, Bacia do Gelo.",NA,BR,2060,9,2012,PRESERVED_SPECIMEN,JBRJ,RB,RB00806082,17754,"G. Martinelli; M.A. Moraes, R. Forzza, D. Pinheiro, M. Nadruz, R. Azoury & M.R. Blind",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,17,22,"c(-66.021389, 0.789167)",TRUE
315424,GBIF_320020,Zygosepalum labiosum,-0.452778,-52.861667,4079374493,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) Garay,Trilha para Cachoeira da Água Limpa. Estação Ecológica do Jari,NA,BR,NA,2,2023,PRESERVED_SPECIMEN,JBRJ,RB,RB01485584,12552,"R.C. Forzza; P. Labiak, E.C. Oliveira, H. Medeiros, A.A. Soares, F.B. Guimarães",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,11,8,"c(-52.861667, -0.452778)",TRUE
320580,GBIF_326912,Zygosepalum labiosum,-13.13472,-69.56777,4061500338,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) Garay,"Tambopata Collpa Research Center. Río Tambopata, pacal plot.",NA,PE,400,4,1994,PRESERVED_SPECIMEN,NA,Tropicos,991884,15475,Percy Núñez V.;O. Cjuno;Nestor Jaramillo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,11,8,"c(-69.56777, -13.13472)",TRUE
321631,GBIF_330133,Zygosepalum labiosum,-1.366389,-48.372222,2365711648,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) Garay,.,NA,BR,NA,12,2018,PRESERVED_SPECIMEN,MPEG,HERBMG,MG236319,4,"Vasconcelos, F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,11,8,"c(-48.372222, -1.366389)",TRUE
321724,GBIF_330234,Zygosepalum labiosum,-1.727222,-51.455,1314797957,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) Garay,Melgaço,NA,BR,NA,4,2010,PRESERVED_SPECIMEN,MPEG,HERBMG,MG199966,without-number,"Koch, A.K.; Leal, E.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,11,8,"c(-51.455, -1.727222)",TRUE
321733,GBIF_330244,Zygosepalum labiosum,2.548333,-60.787222,2365708285,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) Garay,Serra Grande,NA,BR,NA,5,2013,PRESERVED_SPECIMEN,MPEG,HERBMG,MG228855,1181,"Pessoa, E.; Alves, M.; Melo, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,11,8,"c(-60.787222, 2.548333)",TRUE
321816,GBIF_330334,Zygosepalum tatei,0.789167,-66.021389,2365702863,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Ames & C.Schweinf.) G.A.Romero & Carnevali,Parque Nacional do Pico da Neblina,NA,BR,NA,9,2012,PRESERVED_SPECIMEN,MPEG,HERBMG,MG225053,17754,"Martinelli, G.; Moraes, M.A.; Forzza, R.; Pinheiro, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,17,22,"c(-66.021389, 0.789167)",TRUE
362867,GBIF_392305,Zygosepalum labiosum,3.25,-54.17,1930306663,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) Garay,"Antécume Pata, Found at Piukukunënï = where the 'martin pêcheir' lives",NA,GF,NA,2,1991,PRESERVED_SPECIMEN,NY,NY,1477513,86,B. Veth,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,11,8,"c(-54.17, 3.25)",TRUE
376747,GBIF_413692,Zygosepalum tatei,7.0758,-65.9119,1847935640,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,Venezuela,NA,VE,NA,12,1984,PRESERVED_SPECIMEN,F,Botany,V0451054F,59534,T. B. Croat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,34,1,"c(-65.9119, 7.0758)",TRUE
378040,GBIF_415024,Zygosepalum tatei,7.0758,-65.9119,1847940477,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,NA,Venezuela,NA,VE,NA,9,1944,PRESERVED_SPECIMEN,F,Botany,V0451055F,58327,J. A. Steyermark,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,34,1,"c(-65.9119, 7.0758)",TRUE
382210,GBIF_419869,Zygosepalum labiosum,-1.360278,-48.3425,4415951860,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) Garay,NA,NA,BR,NA,4,2017,PRESERVED_SPECIMEN,UEPA,MFS,7085,1848,"Lucas, F.C.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,11,8,"c(-48.3425, -1.360278)",TRUE
383563,GBIF_421839,Zygosepalum tatei,3.65,-65.433333,1261388735,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Ames & Schltr.) Garay & Dunst.,Cerro Marahuaca. Summit. SW side of center. Open rocky plateau and ravines.,NA,VE,2660,10,1988,PRESERVED_SPECIMEN,MO,Tropicos,674044,25193,Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216169,Zygosepalum tatei,Zygosepalum,tatei,(Ames & C.Schweinf.) Garay & Dunst.,Species,Accepted,NA,661813-1,216169,7,17,"c(-65.433333, 3.65)",TRUE
385068,GBIF_424270,Zygosepalum labiosum,-2.338611,-57.585555,1424490651,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) L.O.Williams,Rio Carara-açu.,NA,BR,59,5,2014,PRESERVED_SPECIMEN,JBRJ,RB,RB00875550,406,L.S.B. Calazans; Moisés (barqueiro),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,10,8,"c(-57.585555, -2.338611)",TRUE
385071,GBIF_424274,Zygosepalum labiosum,-11.188611,-57.730278,1424497737,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Zygosepalum,SPECIES,(Rich.) L.O.Williams,Parcela 22 do Módulo 2 referente aos estudos do EIA da UHE Castanheira.,NA,BR,NA,7,2014,PRESERVED_SPECIMEN,JBRJ,RB,RB00907545,1014,E.M.Saddi; Pedro Otávio Samor & Roni Gomes Chaves,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,216164,Zygosepalum labiosum,Zygosepalum,labiosum,(Rich.) C.Schweinf.,Species,Accepted,NA,661809-1,216164,10,8,"c(-57.730278, -11.188611)",TRUE
