V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106975,GBIF_10191,Cyrtorchis injoloensis,-2.4,10.45,2515745645,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(De Wild.) Schltr.,Doussala.,NA,GA,NA,8,1985,PRESERVED_SPECIMEN,NA,Botany,WAG0139726,"Laan, FM van der 887",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54832,Cyrtorchis injoloensis,Cyrtorchis,injoloensis,(De Wild.) Schltr.,Species,Accepted,NA,626412-1,54832,0,18,"c(10.45, -2.4)",TRUE
106979,GBIF_10195,Cyrtorchis injoloensis,-2.6595,10.451,2517657821,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(De Wild.) Schltr.,"Gabon, Nyanga forestry concession of Bakker, 27 km N of Igotchi.",NA,GA,NA,6,2008,PRESERVED_SPECIMEN,NA,Botany,WAG8002709,"Damen, THJ 317",Damen THJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54832,Cyrtorchis injoloensis,Cyrtorchis,injoloensis,(De Wild.) Schltr.,Species,Accepted,NA,626412-1,54832,0,18,"c(10.451, -2.6595)",TRUE
107045,GBIF_10264,Cyrtorchis brownii,-1.41667,29.21667,2515702967,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rolfe) Schltr.,"Mount Nyamuragira, Eastern slope.",NA,CD,NA,1,1973,PRESERVED_SPECIMEN,NA,Botany,WAG.1132224,"Bokdam, J 3938",Bokdam J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54818,Cyrtorchis brownii,Cyrtorchis,brownii,(Rolfe) Schltr.,Species,Accepted,NA,626399-1,54818,0,15,"c(29.21667, -1.41667)",TRUE
107046,GBIF_10265,Cyrtorchis hamata,6.16667,-8.18333,2515803142,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rolfe) Schltr.,"Tchien, Mim Timber Co (Fijnhout).",NA,LR,NA,5,1970,PRESERVED_SPECIMEN,NA,Botany,WAG.1132264,"Koning, J de 509",Koning J de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54828,Cyrtorchis hamata,Cyrtorchis,hamata,(Rolfe) Schltr.,Species,Accepted,NA,626409-1,54828,0,15,"c(-8.18333, 6.16667)",TRUE
107047,GBIF_10267,Cyrtorchis ringens,3.08333,10.41667,2517255174,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Szlach. & Olszewski,Bipinde.,NA,CM,NA,NA,1898,PRESERVED_SPECIMEN,NA,Botany,WAG.1132327,"Zenker, GA 1557",Zenker GA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54842,Cyrtorchis ringens,Cyrtorchis,ringens,(Rchb.f.) Summerh.,Species,Accepted,NA,626418-1,54842,17,11,"c(10.41667, 3.08333)",TRUE
108031,GBIF_11284,Cyrtorchis injoloensis,-2.6,10.58333,2515546236,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(De Wild.) Schltr.,Doussala.,NA,GA,NA,6,1992,PRESERVED_SPECIMEN,NA,Botany,WAG0139712,"Arends, JC 959",Arends JC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54832,Cyrtorchis injoloensis,Cyrtorchis,injoloensis,(De Wild.) Schltr.,Species,Accepted,NA,626412-1,54832,0,18,"c(10.58333, -2.6)",TRUE
108042,GBIF_11295,Cyrtorchis arcuata,7.25,-3.01667,2515529998,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,VARIETY,(Rolfe) Geerinck,NA,NA,CI,NA,3,1984,PRESERVED_SPECIMEN,NA,Botany,WAG8002779,"Laan, FM van der 769",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54807,Cyrtorchis arcuata,Cyrtorchis,arcuata,(Lindl.) Schltr.,Species,Accepted,NA,626395-1,54807,14,2,"c(-3.01667, 7.25)",TRUE
108103,GBIF_11357,Cyrtorchis chailluana,0.46667,9.41667,2517413950,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Hook.f.) Schltr.,7 km nord de Libreville.,NA,GA,NA,1,1961,PRESERVED_SPECIMEN,NA,Botany,WAG.1132252,"Hallé, N 959",Hallé N,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54820,Cyrtorchis chailluana,Cyrtorchis,chailluana,(Hook.f.) Schltr.,Species,Accepted,NA,626401-1,54820,0,17,"c(9.41667, 0.46667)",TRUE
108104,GBIF_11358,Cyrtorchis monteiroae,6.4,-10.65,2517294294,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Schltr.,"New site of the University of Liberia, Louisiana, c. 17 miles from Monrovia, sec. bush.",NA,LR,NA,11,1966,PRESERVED_SPECIMEN,NA,Botany,WAG.1132294,"Bos, JJ 2312",Bos JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54835,Cyrtorchis monteiroae,Cyrtorchis,monteiroae,(Rchb.f.) Schltr.,Species,Accepted,NA,626414-1,54835,0,17,"c(-10.65, 6.4)",TRUE
108105,GBIF_11359,Cyrtorchis ringens,-18.4,35.01667,2515887484,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Summerh.,"Cheringoma, prox. de Inhaminga.",NA,MZ,NA,7,1941,PRESERVED_SPECIMEN,NA,Botany,WAG.1132313,"Torre, AR da 3071",Torre AR da,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54842,Cyrtorchis ringens,Cyrtorchis,ringens,(Rchb.f.) Summerh.,Species,Accepted,NA,626418-1,54842,0,18,"c(35.01667, -18.4)",TRUE
110938,GBIF_14905,Cyrtorchis ringens,3.23333,10.03333,436984983,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Summerh.,NA,NA,CM,NA,NA,1898,PRESERVED_SPECIMEN,MNHN,P,P00383627,without-number,"Zenker, G.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54842,Cyrtorchis ringens,Cyrtorchis,ringens,(Rchb.f.) Summerh.,Species,Accepted,NA,626418-1,54842,0,18,"c(10.03333, 3.23333)",TRUE
122939,GBIF_44252,Cyrtorchis aschersonii,-2.78333,10.51667,2517720961,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Kraenzl.) Schltr.,Ca 10 km along the track Lake Cachimba (= Lac Mandjé) towards Igotchi.,NA,GA,NA,1,1987,PRESERVED_SPECIMEN,NA,Botany,WAG.1132219,"Laan, FM van der 1329",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54814,Cyrtorchis aschersonii,Cyrtorchis,aschersonii,(Kraenzl.) Schltr.,Species,Accepted,NA,626396-1,54814,0,18,"c(10.51667, -2.78333)",TRUE
122940,GBIF_44253,Cyrtorchis chailluana,-3.35,10.66667,2517708841,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Hook.f.) Schltr.,Ca. 8 km North of Mayumba.,NA,GA,NA,12,1986,PRESERVED_SPECIMEN,NA,Botany,WAG.1132240,"Wilde, JJFE de; Arends, JC; Bruijn, J de 9186",Wilde JJFE de; Arends JC; Bruijn J de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54820,Cyrtorchis chailluana,Cyrtorchis,chailluana,(Hook.f.) Schltr.,Species,Accepted,NA,626401-1,54820,0,17,"c(10.66667, -3.35)",TRUE
122941,GBIF_44254,Cyrtorchis monteiroae,-0.18333,9.33333,2517651827,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Schltr.,Oyan. Secondaire site forage Oyan.,NA,GA,NA,10,1990,PRESERVED_SPECIMEN,NA,Botany,WAG.1132282,"Wilks, CM; Dibata, JJ 2419",Wilks CM; Dibata JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54835,Cyrtorchis monteiroae,Cyrtorchis,monteiroae,(Rchb.f.) Schltr.,Species,Accepted,NA,626414-1,54835,0,17,"c(9.33333, -0.18333)",TRUE
122942,GBIF_44255,Cyrtorchis praetermissa,-7.55167,36.16694,2515815092,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,Summerh.,"Mazombe Division, Image Ward, Image Mountains Forest Reserve, Iyai village, Selebu mountain, c. 100 m west of Ihongole forest.",NA,TZ,NA,9,2011,PRESERVED_SPECIMEN,NA,Botany,WAG.1132301,"Kayombo, CJ; Wimbe, E 7235",Kayombo CJ; Wimbe E,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54837,Cyrtorchis praetermissa,Cyrtorchis,praetermissa,Summerh.,Species,Accepted,NA,626416-1,54837,0,8,"c(36.16694, -7.55167)",TRUE
123969,GBIF_45369,Cyrtorchis brownii,7.25,-3.01667,2515746838,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rolfe) Schltr.,from Centre 'v.d Burg-collection'.,NA,CI,NA,2,1982,PRESERVED_SPECIMEN,NA,Botany,WAG0139737,"Laan, FM van der 475",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54818,Cyrtorchis brownii,Cyrtorchis,brownii,(Rolfe) Schltr.,Species,Accepted,NA,626399-1,54818,0,15,"c(-3.01667, 7.25)",TRUE
124050,GBIF_45452,Cyrtorchis arcuata,-15.31667,39.31667,2515862272,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Lindl.) Schltr.,"Mogincual, andados 21 km de Nampula para Nametil.",NA,MZ,NA,4,1964,PRESERVED_SPECIMEN,NA,Botany,WAG.1132174,"Torre, AR da; Paiva, JAR 11568",Torre AR da; Paiva JAR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54807,Cyrtorchis arcuata,Cyrtorchis,arcuata,(Lindl.) Schltr.,Species,Accepted,NA,626395-1,54807,0,16,"c(39.31667, -15.31667)",TRUE
124051,GBIF_45453,Cyrtorchis chailluana,2.71667,11.28333,2517705834,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Hook.f.) Schltr.,"Akoakas rock, 24 km on the old road from N'Koemvone to Ambam (counted from the crossing at N'Koemvone).",NA,CM,NA,2,1975,PRESERVED_SPECIMEN,NA,Botany,WAG.1132235,"Wilde, JJFE de 7980",Wilde JJFE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54820,Cyrtorchis chailluana,Cyrtorchis,chailluana,(Hook.f.) Schltr.,Species,Accepted,NA,626401-1,54820,0,17,"c(11.28333, 2.71667)",TRUE
124052,GBIF_45454,Cyrtorchis monteiroae,4.61667,9.8,2515816317,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Szlach. & Olszewski,"Km 19 Loum-Yabassi, 3 km N of Solé.",NA,CM,NA,12,1971,PRESERVED_SPECIMEN,NA,Botany,WAG.1132275,"Leeuwenberg, AJM 9033",Leeuwenberg AJM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54835,Cyrtorchis monteiroae,Cyrtorchis,monteiroae,(Rchb.f.) Schltr.,Species,Accepted,NA,626414-1,54835,15,11,"c(9.8, 4.61667)",TRUE
124053,GBIF_45455,Cyrtorchis monteiroae,4.01667,9.71667,2517708842,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Szlach. & Olszewski,"Douala, Fôret des Singes, behind airfield.",NA,CM,NA,8,1970,PRESERVED_SPECIMEN,NA,Botany,WAG.1132277,"Bos, JJ; Breteler, FJ 7332",Bos JJ; Breteler FJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54835,Cyrtorchis monteiroae,Cyrtorchis,monteiroae,(Rchb.f.) Schltr.,Species,Accepted,NA,626414-1,54835,15,11,"c(9.71667, 4.01667)",TRUE
124054,GBIF_45456,Cyrtorchis ringens,-2.11667,28.91667,2517286119,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Summerh.,route Kavumu-Walikale.,NA,CD,NA,3,1958,PRESERVED_SPECIMEN,NA,Botany,WAG.1132336,"Troupin, GMDJ 7286",Troupin GMDJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54842,Cyrtorchis ringens,Cyrtorchis,ringens,(Rchb.f.) Summerh.,Species,Accepted,NA,626418-1,54842,0,18,"c(28.91667, -2.11667)",TRUE
129197,GBIF_53863,Cyrtorchis monteiroae,2.35,16.15,1261369963,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb. f.) Schltr.,"Ndakan, gorilla study area. Precp. 1400mm. Seasonally flooded forest with Uapaca spp., and Guibourtia demeusei.",NA,CF,350,3,1988,PRESERVED_SPECIMEN,MO,Tropicos,654611,277,David J. Harris;J.M. Fay,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54835,Cyrtorchis monteiroae,Cyrtorchis,monteiroae,(Rchb.f.) Schltr.,Species,Accepted,NA,626414-1,54835,1,11,"c(16.15, 2.35)",TRUE
129485,GBIF_54160,Cyrtorchis ringens,7.648583,-8.3517,4032154374,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb. f.) Summerh.,"Nimba. Seringbara, Camp 1. Tongbongbon mountain, 1 km from the camp. Epiphytic plot Nimba 2017-2.",NA,GN,706,9,2017,PRESERVED_SPECIMEN,MO,Tropicos,103029671,5032,Tariq Stévart;Ehoarn Bidault;Thomas Williams;Lamah Kokoly;David Bilivogui,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54842,Cyrtorchis ringens,Cyrtorchis,ringens,(Rchb.f.) Summerh.,Species,Accepted,NA,626418-1,54842,1,12,"c(-8.3517, 7.648583)",TRUE
129525,GBIF_54200,Cyrtorchis neglecta,-5.1,38.633333,4031823603,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,Summerh.,Amani.,NA,TZ,915,4,1950,PRESERVED_SPECIMEN,MO,Tropicos,103116467,142,B. Verdcourt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54836,Cyrtorchis neglecta,Cyrtorchis,neglecta,Summerh.,Species,Accepted,NA,626415-1,54836,0,8,"c(38.633333, -5.1)",TRUE
131070,GBIF_55793,Cyrtorchis ringens,0.467967,10.5043,1257709321,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb. f.) Summerh.,"Monts de Cristal, SEEF logging concession.",NA,GA,505,10,2011,PRESERVED_SPECIMEN,MO,Tropicos,100360640,3520,Tariq Stévart;Raoul Niangadouma;Eric Akouangou;John de Dieu Kaparadi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54842,Cyrtorchis ringens,Cyrtorchis,ringens,(Rchb.f.) Summerh.,Species,Accepted,NA,626418-1,54842,1,12,"c(10.5043, 0.467967)",TRUE
133088,GBIF_58197,Cyrtorchis ringens,-2.33333,10.25,2515790965,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Szlach. & Olszewski,Western flanc of the Monts Doudou.,NA,GA,NA,12,1984,PRESERVED_SPECIMEN,NA,Botany,WAG0139731,"Arends, JC; Wilde, JJFE de; Louis, AM 653",Arends JC; Wilde JJFE de; Louis AM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54842,Cyrtorchis ringens,Cyrtorchis,ringens,(Rchb.f.) Summerh.,Species,Accepted,NA,626418-1,54842,17,11,"c(10.25, -2.33333)",TRUE
133101,GBIF_58211,Cyrtorchis ringens,1.61667,7.41667,2515749206,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Summerh.,Principe.,NA,ST,NA,9,2006,PRESERVED_SPECIMEN,NA,Botany,WAG8003795,"Damen, THJ 198",Damen THJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54842,Cyrtorchis ringens,Cyrtorchis,ringens,(Rchb.f.) Summerh.,Species,Accepted,NA,626418-1,54842,0,18,"c(7.41667, 1.61667)",TRUE
133158,GBIF_58268,Cyrtorchis arcuata,-3.3,29.55,2515841247,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,VARIETY,(Rolfe) Geerinck,Bugarama.,NA,BI,NA,1,1968,PRESERVED_SPECIMEN,NA,Botany,WAG.1132208,"Lewalle, J 2693",Lewalle J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54807,Cyrtorchis arcuata,Cyrtorchis,arcuata,(Lindl.) Schltr.,Species,Accepted,NA,626395-1,54807,14,2,"c(29.55, -3.3)",TRUE
133927,GBIF_59126,Cyrtorchis ringens,-2.66667,10,2515619624,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Summerh.,NA,NA,GA,NA,4,2004,PRESERVED_SPECIMEN,NA,Botany,WAG0106954,"Wieringa, JJ 5300",Wieringa JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54842,Cyrtorchis ringens,Cyrtorchis,ringens,(Rchb.f.) Summerh.,Species,Accepted,NA,626418-1,54842,0,18,"c(10, -2.66667)",TRUE
133935,GBIF_59135,Cyrtorchis arcuata,-3.73333,39.76667,2515602230,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SUBSPECIES,NA,"25km NW of Kaloleni, 25km NW of Monbassa in Kinarini.",NA,KE,NA,12,2006,PRESERVED_SPECIMEN,NA,Botany,WAG0137781,"Damen, THJ 232",Damen THJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,54807,Cyrtorchis arcuata,Cyrtorchis,arcuata,(Lindl.) Schltr.,Species,Accepted,NA,626395-1,54807,16,-1,"c(39.76667, -3.73333)",TRUE
133938,GBIF_59138,Cyrtorchis chailluana,0.61667,10.35,2517606561,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Hook.f.) Schltr.,c. 10km along the road Tchimbele-Kinguele.,NA,GA,NA,NA,1995,PRESERVED_SPECIMEN,NA,Botany,WAG0137882,"Musampa-Nseya, A s.n.",Musampa-Nseya A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54820,Cyrtorchis chailluana,Cyrtorchis,chailluana,(Hook.f.) Schltr.,Species,Accepted,NA,626401-1,54820,0,17,"c(10.35, 0.61667)",TRUE
133950,GBIF_59152,Cyrtorchis brownii,-0.5,9.55,2517640562,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rolfe) Schltr.,"Presidential Reserve Wonga- Wongue, ca.100km S of Libreville. 'Little Bambam'.",NA,GA,NA,8,1985,PRESERVED_SPECIMEN,NA,Botany,WAG0139691,"Laan, FM van der 894",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54818,Cyrtorchis brownii,Cyrtorchis,brownii,(Rolfe) Schltr.,Species,Accepted,NA,626399-1,54818,0,15,"c(9.55, -0.5)",TRUE
133951,GBIF_59153,Cyrtorchis ringens,-2.6,10.58333,2515801101,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Summerh.,Doussala.,NA,GA,NA,4,1990,PRESERVED_SPECIMEN,NA,Botany,WAG0139710,"Arends, JC s.n.",Arends JC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54842,Cyrtorchis ringens,Cyrtorchis,ringens,(Rchb.f.) Summerh.,Species,Accepted,NA,626418-1,54842,0,18,"c(10.58333, -2.6)",TRUE
134036,GBIF_59245,Cyrtorchis chailluana,2.93333,11.98333,2515595021,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Hook.f.) Schltr.,NA,NA,CM,NA,11,1999,PRESERVED_SPECIMEN,NA,Botany,WAG.1132227,"Gemerden, BS van 485",Gemerden BS van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54820,Cyrtorchis chailluana,Cyrtorchis,chailluana,(Hook.f.) Schltr.,Species,Accepted,NA,626401-1,54820,0,17,"c(11.98333, 2.93333)",TRUE
134037,GBIF_59246,Cyrtorchis chailluana,-0.25,11.66667,2515693159,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Hook.f.) Schltr.,Lope Reserve. Ogooue deb.,NA,GA,NA,9,1994,PRESERVED_SPECIMEN,NA,Botany,WAG.1132250,"White, LJT 1209",White LJT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54820,Cyrtorchis chailluana,Cyrtorchis,chailluana,(Hook.f.) Schltr.,Species,Accepted,NA,626401-1,54820,0,17,"c(11.66667, -0.25)",TRUE
134038,GBIF_59247,Cyrtorchis injoloensis,-2.6,10.58333,2515613245,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(De Wild.) Schltr.,Doussala.,NA,GA,NA,7,1992,PRESERVED_SPECIMEN,NA,Botany,WAG.1132269,"Arends, JC 877",Arends JC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54832,Cyrtorchis injoloensis,Cyrtorchis,injoloensis,(De Wild.) Schltr.,Species,Accepted,NA,626412-1,54832,0,18,"c(10.58333, -2.6)",TRUE
134039,GBIF_59248,Cyrtorchis ringens,6.31667,9.43333,2517421865,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rchb.f.) Summerh.,Obudu Cattle Ranch.,NA,NG,NA,5,1971,PRESERVED_SPECIMEN,NA,Botany,WAG.1132311,"Meer, PPC van 1739",Meer PPC van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54842,Cyrtorchis ringens,Cyrtorchis,ringens,(Rchb.f.) Summerh.,Species,Accepted,NA,626418-1,54842,0,18,"c(9.43333, 6.31667)",TRUE
134244,GBIF_59479,Cyrtorchis arcuata,10.20133,1.50167,2517457839,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Lindl.) Schltr.,"Perma, Kouatena.",NA,BJ,NA,2,2001,PRESERVED_SPECIMEN,NA,Botany,WAG.1132178,"Akoègninou, A; Agbani, P; Yédomonhan, H 4255",Akoègninou A; Agbani P; Yédomonhan H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54807,Cyrtorchis arcuata,Cyrtorchis,arcuata,(Lindl.) Schltr.,Species,Accepted,NA,626395-1,54807,0,16,"c(1.50167, 10.20133)",TRUE
134245,GBIF_59480,Cyrtorchis chailluana,-0.1,10.33333,2515702968,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Hook.f.) Schltr.,Ekouk.,NA,GA,NA,8,1987,PRESERVED_SPECIMEN,NA,Botany,WAG.1132239,"Laan, FM van der 1380",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54820,Cyrtorchis chailluana,Cyrtorchis,chailluana,(Hook.f.) Schltr.,Species,Accepted,NA,626401-1,54820,0,17,"c(10.33333, -0.1)",TRUE
134246,GBIF_59481,Cyrtorchis hamata,6.66667,-3.26667,2515816316,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Cyrtorchis,SPECIES,(Rolfe) Schltr.,Niablé.,NA,CI,NA,7,1969,PRESERVED_SPECIMEN,NA,Botany,WAG.1132260,"Thijssen, MT 158",Thijssen MT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,54828,Cyrtorchis hamata,Cyrtorchis,hamata,(Rolfe) Schltr.,Species,Accepted,NA,626409-1,54828,0,15,"c(-3.26667, 6.66667)",TRUE
